region	n	trait	results	abbreviation	category	color
region_chr16_48974015_52001911	49	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr19_11173352_13360313	174	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr1_46433829_47536904	20	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr5_132803957_135441711	3	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr6_141967342_144998674	5	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_13844577_15104032	104	MAGIC_FastingGlucose	gwas	FG	Cardiometabolic	#004000
region_chr7_39823071_41962213	7	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr13_38304026_40495126	81	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr1_247181216_248945267	17	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr22_38911889_40149793	7	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr2_8282017_10158342	7	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr6_19207256_21683834	30	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr8_75544307_78220626	413	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_110015744_112068802	49	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr10_44234627_46978910	17	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr11_107973474_108566310	51	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr12_51382710_52645220	4	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr2_109814855_113164279	7	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr3_84318328_85533081	2	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr6_31603441_32714887	104	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr7_150143569_151014417	1	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr9_98830577_101862155	7	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr17_1269105_2025437	15	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr19_16263605_18299052	129	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr2_12279024_14195184	11	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr3_176602499_178389377	2	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr7_91032469_92864438	61	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr10_26599755_29034307	111	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr10_70461094_71748755	8	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr14_67525600_70665240	5	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr18_42312683_45342141	35	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr19_35978393_37036131	2	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr1_1961168_3666172	99	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr5_94474279_96627815	48	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_40377376_42070983	36	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr12_115065411_116649666	13	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr15_62923023_64812469	21	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr1_159943258_162376931	38	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr1_64576021_66473721	152	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr2_189017339_191108631	41	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr6_32714887_33268720	1171	UKB_20002_1261_self_reported_multiple_sclerosis	gwas	MS_UKBS	Psychiatric-neurologic	#0000A0
region_chr6_42070983_43788432	19	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr12_47321010_48608083	296	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr14_18225607_21121243	5	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr16_10332175_11426305	29	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr17_44979537_47798656	14	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr19_16263605_18299052	247	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr3_196244537_197349116	4	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr5_54407214_56121522	730	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr7_25869935_28320690	24	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr8_127646866_129368893	2	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr9_4495328_4884926	8	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr9_87521331_89827251	159	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr10_22886203_25289667	12	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr12_32924055_37462915	1782	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr6_14802693_17386174	11	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr7_36173929_37515581	53	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr1_154797927_156366342	13	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr20_20979069_22510818	147	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_47685722_49279539	3	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr6_25684359_26791023	10	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr6_28050041_28949831	564	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr10_122141030_124109830	17	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_38833367_40422383	295	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr16_53348660_55869862	104	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr19_43358303_44239955	286	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr1_107867043_109761309	8	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr1_7187275_9305140	24	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr3_20049856_21602215	15	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_185987936_187551827	7	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_125103237_127219316	363	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr8_74532829_75544307	57	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr10_705399_1481349	264	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr22_43318194_44599428	2	UKB_20002_1466_self_reported_gout	gwas	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr2_117609890_120546207	1	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr2_221656456_223994702	37	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr3_16240935_17849626	4	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr4_182450122_184008302	97	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr7_99117851_100599028	1	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr13_28683414_29909130	47	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_112730684_114331223	3	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr3_38314625_40179807	1	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr5_139885487_141266403	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr6_151591568_152773361	9	BCAC_ER_negative_BreastCancer_EUR	gwas	ERNBC	Cancer	#A0A0A0
region_chr6_25684359_26791023	237	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr6_32714887_33268720	108	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr9_10023_1079707	20	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr11_66131160_68238358	6	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr14_63323296_64753580	1	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr15_40885316_42484201	353	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr16_29025292_31371622	218	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr17_71391676_74676064	144	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_102971757_104508576	24	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr3_122255250_123798921	47	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr3_128476018_130525891	111	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr8_65576855_68950822	11	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr10_31618591_33419040	2	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr12_3567871_4308513	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr15_58149167_59401917	157	MAGNETIC_HDL.C	gwas	HDLC	Cardiometabolic	#004000
region_chr15_80568637_83591716	66	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_101205867_102072305	3	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr3_137652241_140235755	204	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr3_159760101_161806716	95	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr3_70399877_72480178	2	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr7_16862445_19441924	117	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr7_23431823_25037640	226	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr8_58815541_61416540	68	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr10_7129522_8732702	57	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr12_40422383_41264784	176	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr14_70665240_72422907	7	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr16_80263477_81738931	27	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr19_46646825_48778970	27	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr2_19492643_20850730	18	MAGNETIC_IDL.TG	gwas	IDL	Cardiometabolic	#004000
region_chr2_241210506_242147200	122	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr5_141266403_143601683	45	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_127446784_128318642	19	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr11_59013076_62456299	54	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr12_121569746_124493434	145	UKB_20002_1466_self_reported_gout	gwas	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr1_102433189_103371589	503	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr20_5497204_7103426	11	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr2_54458089_55976210	5	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr4_160905283_162322527	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr12_8878799_10328935	270	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr18_54027805_57546606	15	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr19_46646825_48778970	6	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr5_157201689_159398690	13	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr8_143155464_145078481	14	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr9_104819468_106536473	3	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr9_85975502_87521331	280	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr13_107537529_108468862	3	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr16_10054_1157206	188	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr2_164322330_166303760	195	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr3_60287177_62369991	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr4_53011266_54563389	66	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr5_178986463_179974244	39	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr17_2025437_3799018	125	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr17_31459473_33211407	355	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_128476018_130525891	127	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr4_24133906_25607700	3	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_93731457_96645635	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr8_129368893_130627379	10	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr8_23039544_24817205	5	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr12_65165915_66787364	607	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr18_23069508_25416687	28	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr22_15927607_17193405	20	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr2_58070180_60064865	5	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr4_123365326_124289707	5	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr6_31603441_32714887	5883	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_119316305_121569746	63	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr12_69432762_70564207	62	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_23594100_25190354	8	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr1_51248054_53760589	46	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr2_197213386_198446401	644	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr3_140235755_141620255	132	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr6_6784974_7808703	242	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_73924_1452127	1	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr10_61581937_64034354	24	BCAC_ER_negative_BreastCancer_EUR	gwas	ERNBC	Cancer	#A0A0A0
region_chr11_133130151_134336099	37	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr12_102571208_104454918	1	EGG_BW3_EUR	gwas	BW	Anthropometric	#404040
region_chr14_65932837_67525600	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr20_39808119_40982216	5	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr3_23763374_25420067	1	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr5_157201689_159398690	123	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_33268720_35487979	407	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr9_136605890_138254346	5	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr11_116512631_117876395	105	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr14_93858939_95284530	25	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr20_25363595_33027017	247	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
