region	phenotype	count	best_pvalue
region_chr10_61581937_64034354	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	3.07450461633687e-08
region_chr10_61581937_64034354	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	2.65903520201299e-20
region_chr10_61581937_64034354	IBD.EUR.Crohns_Disease	1	9.43633484176097e-09
region_chr10_61581937_64034354	SSGAC_Education_Years_Pooled	3	2.91304276774102e-08
region_chr10_61581937_64034354	UKB_20002_1065_self_reported_hypertension	2	3.99872960252799e-09
region_chr10_61581937_64034354	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	2.61695076302171e-08
region_chr10_61581937_64034354	UKB_20016_Fluid_intelligence_score	1	1.23826803088114e-07
region_chr10_61581937_64034354	UKB_21001_Body_mass_index_BMI	3	5.17882459215477e-09
region_chr10_61581937_64034354	UKB_50_Standing_height	5	1.12991939568648e-13
region_chr10_68140391_68436234	UKB_50_Standing_height	6	7.18156919829579e-26
region_chr10_68436234_70461094	UKB_1160_Sleep_duration	1	5.54820316937531e-07
region_chr10_68436234_70461094	UKB_20002_1065_self_reported_hypertension	1	3.15293636743836e-08
region_chr10_68436234_70461094	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	1	1.24928000308561e-10
region_chr10_68436234_70461094	UKB_20016_Fluid_intelligence_score	1	1.35904925688987e-06
region_chr10_68436234_70461094	UKB_50_Standing_height	5	7.02269219271088e-31
region_chr10_68436234_70461094	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	1	8.60784212329145e-12
region_chr10_68436234_70461094	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	1	7.15266420378814e-08
region_chr10_70461094_71748755	Astle_et_al_2016_Monocyte_count	1	8.7723505149305e-08
region_chr10_70461094_71748755	Astle_et_al_2016_White_blood_cell_count	1	7.56316028355186e-10
region_chr10_705399_1481349	Astle_et_al_2016_Sum_eosinophil_basophil_counts	5	1.15840293256794e-25
region_chr10_73662792_76947056	UKB_23099_Body_fat_percentage	2	1.3647593824336e-07
region_chr10_76947056_79116992	Astle_et_al_2016_Red_blood_cell_count	1	1.28938772140241e-08
region_chr10_76947056_79116992	UKB_50_Standing_height	2	1.24460107899993e-18
region_chr10_79116992_80654923	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	1.63701344625245e-08
region_chr10_79116992_80654923	Astle_et_al_2016_Platelet_count	2	2.54686105263075e-08
region_chr10_79116992_80654923	UKB_50_Standing_height	3	8.73291297539597e-67
region_chr10_83698947_86177820	UKB_21001_Body_mass_index_BMI	1	1.4041022241404e-09
region_chr10_83698947_86177820	UKB_23099_Body_fat_percentage	1	7.7841008846587e-11
region_chr10_86177820_87367307	UKB_20002_1065_self_reported_hypertension	1	2.47516584778933e-07
region_chr10_86177820_87367307	UKB_50_Standing_height	1	5.86360528306022e-08
region_chr10_87367307_89253624	GIANT_HEIGHT	1	4.78296353510851e-07
region_chr10_87367307_89253624	IBD.EUR.Crohns_Disease	1	1.04423832184721e-06
region_chr10_89253624_90246824	Astle_et_al_2016_Red_blood_cell_count	4	2.30419113319779e-08
region_chr10_91575290_93636611	EGG_BW3_EUR	2	1.56393545373794e-12
region_chr10_91575290_93636611	Jones_et_al_2016_Chronotype	1	5.1267444912896e-07
region_chr10_91575290_93636611	UKB_20002_1111_self_reported_asthma	1	5.81112440823656e-07
region_chr10_91575290_93636611	UKB_20022_Birth_weight	2	3.94913448570489e-08
region_chr10_91575290_93636611	UKB_50_Standing_height	3	8.22584633510996e-10
region_chr10_91575290_93636611	UKB_6152_8_diagnosed_by_doctor_Asthma	1	2.08355936582098e-07
region_chr10_93636611_94461486	Astle_et_al_2016_White_blood_cell_count	1	1.89049260013818e-07
region_chr10_93636611_94461486	UKB_20002_1065_self_reported_hypertension	3	7.5594616778208e-14
region_chr10_93636611_94461486	UKB_23099_Body_fat_percentage	3	2.08278538261569e-14
region_chr10_94461486_96062600	Astle_et_al_2016_White_blood_cell_count	3	3.12542704462932e-08
region_chr10_94461486_96062600	GIANT_HEIGHT	1	3.65004820162773e-12
region_chr10_94461486_96062600	UKB_20002_1065_self_reported_hypertension	3	2.71381075989418e-12
region_chr10_94461486_96062600	UKB_23099_Body_fat_percentage	3	9.32213843765289e-08
region_chr10_94461486_96062600	UKB_50_Standing_height	1	4.13420867721169e-18
region_chr10_96062600_98481545	Astle_et_al_2016_Granulocyte_count	9	2.43046231351878e-35
region_chr10_96062600_98481545	Astle_et_al_2016_Neutrophil_count	9	7.58647573620146e-36
region_chr10_96062600_98481545	Astle_et_al_2016_Sum_basophil_neutrophil_counts	9	1.51272207644132e-35
region_chr10_96062600_98481545	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	9	4.63933705569736e-36
region_chr10_96062600_98481545	Astle_et_al_2016_White_blood_cell_count	9	2.73294970667834e-39
region_chr10_96062600_98481545	UKB_23099_Body_fat_percentage	1	9.96854760710108e-11
region_chr10_96062600_98481545	UKB_50_Standing_height	4	1.7870714656999e-15
region_chr10_98908643_101189482	Astle_et_al_2016_Monocyte_count	3	6.97207498901382e-38
region_chr10_98908643_101189482	GIANT_HEIGHT	6	1.2921520647704e-12
region_chr11_100546438_101460390	UKB_20002_1065_self_reported_hypertension	2	4.31628020670716e-30
region_chr11_100546438_101460390	UKB_50_Standing_height	1	9.14371821071778e-07
region_chr11_101460390_104088908	UKB_20022_Birth_weight	1	2.35232807950647e-07
region_chr11_107973474_108566310	Astle_et_al_2016_Eosinophil_counts	4	1.57011535225011e-12
region_chr11_107973474_108566310	Astle_et_al_2016_Myeloid_white_cell_count	3	3.29692125730258e-09
region_chr11_107973474_108566310	Astle_et_al_2016_Neutrophil_count	3	3.42000813021424e-08
region_chr11_107973474_108566310	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	4.79860612467665e-08
region_chr11_107973474_108566310	Astle_et_al_2016_Sum_eosinophil_basophil_counts	4	3.5109482932769e-13
region_chr11_107973474_108566310	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	2.32963749594263e-09
region_chr11_107973474_108566310	Astle_et_al_2016_White_blood_cell_count	3	3.95227862859998e-09
region_chr11_109995390_111243672	SSGAC_Education_Years_Pooled	1	8.21878543761127e-08
region_chr11_111243672_112588765	BCAC_Overall_BreastCancer_EUR	1	3.7510373438675e-07
region_chr11_111243672_112588765	UKB_20002_1111_self_reported_asthma	5	1.76110965558184e-08
region_chr11_111243672_112588765	UKB_20022_Birth_weight	6	1.9904843285736e-07
region_chr11_111243672_112588765	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	5	7.18119951815063e-12
region_chr11_112588765_114387006	UKB_23099_Body_fat_percentage	1	8.16389220333626e-08
region_chr11_112588765_114387006	pgc.scz2	1	1.10021612524954e-07
region_chr11_114387006_114959946	IBD.EUR.Ulcerative_Colitis	2	1.45549409081373e-08
region_chr11_114959946_116512631	UKB_21001_Body_mass_index_BMI	1	4.59128081370805e-08
region_chr11_116512631_117876395	Astle_et_al_2016_Reticulocyte_count	2	6.63545003443315e-07
region_chr11_116512631_117876395	UKB_20002_1473_self_reported_high_cholesterol	9	1.22845519483553e-46
region_chr11_116512631_117876395	UKB_50_Standing_height	1	1.60695427738458e-06
region_chr11_117876395_119344766	Astle_et_al_2016_High_light_scatter_reticulocyte_count	9	1.29772588807856e-10
region_chr11_117876395_119344766	Astle_et_al_2016_Neutrophil_count	2	1.24405392494689e-06
region_chr11_117876395_119344766	Astle_et_al_2016_Platelet_count	14	6.85425676920325e-60
region_chr11_117876395_119344766	Astle_et_al_2016_Reticulocyte_count	11	1.36980025324874e-15
region_chr11_117876395_119344766	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	8.50830477630466e-07
region_chr11_117876395_119344766	GIANT_HEIGHT	8	1.23703937023512e-14
region_chr11_117876395_119344766	RA_OKADA_TRANS_ETHNIC	2	2.68125070498047e-12
region_chr11_117876395_119344766	UKB_21001_Body_mass_index_BMI	7	9.09415755452626e-12
region_chr11_117876395_119344766	UKB_23099_Body_fat_percentage	5	4.04248645549885e-09
region_chr11_117876395_119344766	UKB_50_Standing_height	5	1.61601007294117e-12
region_chr11_117876395_119344766	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	1.84620299372797e-06
region_chr11_1192365_3644251	Astle_et_al_2016_Monocyte_count	6	3.37691142426756e-16
region_chr11_1192365_3644251	BCAC_ER_negative_BreastCancer_EUR	4	2.1914499895105e-12
region_chr11_1192365_3644251	EGG_BW3_EUR	1	1.15635376042321e-06
region_chr11_1192365_3644251	GIANT_HEIGHT	2	3.26162422632447e-08
region_chr11_1192365_3644251	UKB_20002_1065_self_reported_hypertension	6	1.63000612222461e-19
region_chr11_1192365_3644251	UKB_20022_Birth_weight	3	4.58653864537304e-14
region_chr11_1192365_3644251	UKB_50_Standing_height	5	1.03049439518566e-19
region_chr11_119344766_120896097	UKB_50_Standing_height	2	1.26075680262638e-15
region_chr11_121305234_122721202	Astle_et_al_2016_Lymphocyte_counts	1	2.78327844211905e-26
region_chr11_121305234_122721202	Astle_et_al_2016_Monocyte_count	1	6.57259325531795e-35
region_chr11_121305234_122721202	Astle_et_al_2016_Myeloid_white_cell_count	1	2.9509288372617e-08
region_chr11_121305234_122721202	UKB_20002_1065_self_reported_hypertension	1	6.5043641764013e-08
region_chr11_121305234_122721202	UKB_20022_Birth_weight	1	1.23046073160149e-07
region_chr11_121305234_122721202	UKB_21001_Body_mass_index_BMI	1	5.38408994160811e-07
region_chr11_124625632_126441425	Astle_et_al_2016_Neutrophil_count	1	8.06424771466547e-07
region_chr11_124625632_126441425	Astle_et_al_2016_Platelet_count	2	3.24878858754255e-07
region_chr11_124625632_126441425	Astle_et_al_2016_Sum_eosinophil_basophil_counts	3	1.03649497553615e-07
region_chr11_124625632_126441425	GIANT_HEIGHT	1	1.87352914552356e-06
region_chr11_124625632_126441425	UKB_20002_1473_self_reported_high_cholesterol	1	3.18268003939307e-09
region_chr11_124625632_126441425	UKB_50_Standing_height	10	1.91905603008064e-13
region_chr11_12542682_13351577	GIANT_HEIGHT	3	1.32366615812327e-13
region_chr11_12542682_13351577	UKB_20127_Neuroticism_score	1	7.55459600725604e-08
region_chr11_12542682_13351577	UKB_21001_Body_mass_index_BMI	1	1.75598727899561e-10
region_chr11_12542682_13351577	UKB_23099_Body_fat_percentage	1	3.48341357611994e-08
region_chr11_128318642_130472680	Astle_et_al_2016_Monocyte_count	1	2.11570162291944e-06
region_chr11_128318642_130472680	BCAC_Overall_BreastCancer_EUR	1	1.30092962689934e-06
region_chr11_128318642_130472680	UKB_50_Standing_height	3	3.15031359072317e-11
region_chr11_130472680_131204717	UKB_23099_Body_fat_percentage	3	5.9728070940138e-11
region_chr11_13351577_15721006	GIANT_HEIGHT	1	2.38082801997116e-07
region_chr11_13351577_15721006	UKB_20002_1265_self_reported_migraine	1	7.65453995332536e-08
region_chr11_134336099_135076558	UKB_23099_Body_fat_percentage	1	2.682170705395e-08
region_chr11_15721006_17556855	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	1.06571340624837e-13
region_chr11_15721006_17556855	Astle_et_al_2016_Red_blood_cell_count	1	7.9674936226271e-07
region_chr11_15721006_17556855	Astle_et_al_2016_Reticulocyte_count	2	1.57233983576175e-23
region_chr11_15721006_17556855	GIANT_HEIGHT	4	6.64030709260505e-11
region_chr11_15721006_17556855	UKB_50_Standing_height	6	7.57012952696325e-12
region_chr11_17556855_19547988	Astle_et_al_2016_Red_blood_cell_count	2	7.67930194458643e-12
region_chr11_17556855_19547988	UKB_50_Standing_height	7	1.85736102624374e-14
region_chr11_26998914_28460046	UKB_23099_Body_fat_percentage	4	7.00666181690241e-22
region_chr11_28460046_30119810	UKB_21001_Body_mass_index_BMI	3	5.27641805095045e-08
region_chr11_30119810_32255355	GIANT_HEIGHT	2	8.57099706861835e-13
region_chr11_30119810_32255355	UKB_20127_Neuroticism_score	2	9.76305709399773e-10
region_chr11_30119810_32255355	UKB_50_Standing_height	2	1.78192286131988e-15
region_chr11_33937192_35481057	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	4.1444421196599e-09
region_chr11_42288453_44672249	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	5.68458688148702e-07
region_chr11_42288453_44672249	UKB_23099_Body_fat_percentage	1	5.20812429222473e-12
region_chr11_44672249_46984586	Astle_et_al_2016_Platelet_count	1	7.00698491246578e-07
region_chr11_44672249_46984586	MAGIC_FastingGlucose	3	2.43685831922971e-10
region_chr11_44672249_46984586	UKB_20127_Neuroticism_score	1	1.53751428265554e-10
region_chr11_44672249_46984586	UKB_21001_Body_mass_index_BMI	2	1.64227533728796e-19
region_chr11_44672249_46984586	UKB_50_Standing_height	9	3.81439682738668e-37
region_chr11_46984586_49844498	Astle_et_al_2016_Granulocyte_count	7	9.25301857071289e-10
region_chr11_46984586_49844498	Astle_et_al_2016_Neutrophil_count	10	8.67146054932887e-10
region_chr11_46984586_49844498	Astle_et_al_2016_Platelet_count	15	8.47223139014769e-14
region_chr11_46984586_49844498	Astle_et_al_2016_Sum_basophil_neutrophil_counts	10	7.78256632542365e-10
region_chr11_46984586_49844498	GIANT_HEIGHT	20	2.90740054370073e-25
region_chr11_46984586_49844498	IGAP_Alzheimer	4	1.71342262431668e-07
region_chr11_46984586_49844498	MAGIC_FastingGlucose	1	3.78987924967055e-08
region_chr11_46984586_49844498	UKB_1160_Sleep_duration	4	1.89703631809723e-09
region_chr11_46984586_49844498	UKB_1180_Morning_or_evening_person_chronotype	4	6.56865633733236e-10
region_chr11_46984586_49844498	UKB_1200_Sleeplessness_or_insomnia	6	9.72238283197045e-09
region_chr11_46984586_49844498	UKB_20127_Neuroticism_score	13	5.28660219242898e-13
region_chr11_46984586_49844498	UKB_50_Standing_height	23	3.28107830394919e-43
region_chr11_4725479_6301639	Astle_et_al_2016_Platelet_count	2	2.18580727014048e-08
region_chr11_49844498_54927998	GIANT_HEIGHT	1	1.20000069487398e-08
region_chr11_54927998_55315181	GIANT_HEIGHT	1	2.03232711934423e-06
region_chr11_55315181_58690022	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	1.82051790488912e-07
region_chr11_55315181_58690022	UKB_1180_Morning_or_evening_person_chronotype	3	5.99425763953214e-08
region_chr11_55315181_58690022	UKB_20002_1065_self_reported_hypertension	3	2.60790547600969e-07
region_chr11_55315181_58690022	UKB_23099_Body_fat_percentage	1	1.17084067009125e-06
region_chr11_59013076_62456299	Astle_et_al_2016_Eosinophil_counts	4	4.00983550189144e-11
region_chr11_59013076_62456299	Astle_et_al_2016_Granulocyte_count	6	1.46895618521773e-13
region_chr11_59013076_62456299	Astle_et_al_2016_Neutrophil_count	6	2.03045591116094e-11
region_chr11_59013076_62456299	Astle_et_al_2016_Red_blood_cell_count	5	7.19658349977716e-20
region_chr11_59013076_62456299	Astle_et_al_2016_Sum_eosinophil_basophil_counts	4	2.19734806762757e-09
region_chr11_59013076_62456299	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	6	1.83449530908212e-13
region_chr11_59013076_62456299	Astle_et_al_2016_White_blood_cell_count	4	4.16380240446676e-10
region_chr11_59013076_62456299	IGAP_Alzheimer	5	1.65870499502526e-10
region_chr11_59013076_62456299	MAGNETIC_CH2.DB.ratio	13	8.67837171819878e-169
region_chr11_59013076_62456299	UKB_20002_1065_self_reported_hypertension	1	7.1741004350026e-08
region_chr11_59013076_62456299	UKB_50_Standing_height	10	3.50900294559852e-13
region_chr11_62456299_64037097	Astle_et_al_2016_Platelet_count	1	1.18936075702322e-07
region_chr11_64037097_66131160	Astle_et_al_2016_Platelet_count	40	1.39711267988111e-13
region_chr11_64037097_66131160	BCAC_ER_negative_BreastCancer_EUR	2	2.69813155848109e-07
region_chr11_64037097_66131160	EAGLE_Eczema	7	3.93126013404198e-16
region_chr11_64037097_66131160	GIANT_HEIGHT	26	1.63656370298483e-15
region_chr11_64037097_66131160	UKB_20002_1111_self_reported_asthma	5	1.61330042302523e-09
region_chr11_64037097_66131160	UKB_20002_1466_self_reported_gout	9	1.21318545825449e-31
region_chr11_64037097_66131160	UKB_21001_Body_mass_index_BMI	26	2.9421568381953e-15
region_chr11_64037097_66131160	UKB_23099_Body_fat_percentage	13	5.47182548429509e-11
region_chr11_64037097_66131160	UKB_50_Standing_height	32	1.17077827285376e-18
region_chr11_66131160_68238358	Astle_et_al_2016_Eosinophil_counts	2	1.72600702010276e-07
region_chr11_66131160_68238358	Astle_et_al_2016_Red_blood_cell_count	11	2.77986080493483e-10
region_chr11_66131160_68238358	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	4.9337817841639e-07
region_chr11_66131160_68238358	UKB_1180_Morning_or_evening_person_chronotype	3	8.71549375853547e-07
region_chr11_66131160_68238358	UKB_1200_Sleeplessness_or_insomnia	1	2.21960699638946e-08
region_chr11_66131160_68238358	UKB_23099_Body_fat_percentage	8	1.71834667357967e-11
region_chr11_66131160_68238358	UKB_50_Standing_height	39	5.73682064840186e-135
region_chr11_68238358_69701362	UKB_20002_1309_self_reported_osteoporosis	3	2.5401886181266e-11
region_chr11_68238358_69701362	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	2	2.67945773717499e-10
region_chr11_69701362_71215246	UKB_50_Standing_height	5	6.58611833290839e-17
region_chr11_70855_1192365	Astle_et_al_2016_Myeloid_white_cell_count	7	1.51560607997774e-37
region_chr11_70855_1192365	Astle_et_al_2016_Platelet_count	12	1.43432358919339e-97
region_chr11_70855_1192365	Astle_et_al_2016_Sum_basophil_neutrophil_counts	7	5.64738624910393e-42
region_chr11_70855_1192365	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	7	1.97406538759131e-44
region_chr11_70855_1192365	Astle_et_al_2016_White_blood_cell_count	7	4.36161542045055e-33
region_chr11_70855_1192365	BCAC_Overall_BreastCancer_EUR	1	1.75977923665829e-06
region_chr11_70855_1192365	GIANT_HEIGHT	1	1.00614534972605e-06
region_chr11_70855_1192365	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	10	1.66630185372184e-10
region_chr11_71215246_72574973	UKB_50_Standing_height	1	1.92134943596131e-07
region_chr11_72574973_74701306	GIANT_HEIGHT	1	4.76311039810252e-09
region_chr11_74701306_77086163	Astle_et_al_2016_Sum_eosinophil_basophil_counts	3	1.40967532952056e-19
region_chr11_74701306_77086163	IBD.EUR.Inflammatory_Bowel_Disease	1	4.95151702690433e-07
region_chr11_74701306_77086163	UKB_20002_1111_self_reported_asthma	4	5.78223952990819e-27
region_chr11_81555670_84670229	UKB_50_Standing_height	1	1.96581978719923e-07
region_chr11_84670229_86908259	IGAP_Alzheimer	1	1.7715650825581e-08
region_chr11_87719343_89475768	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	1.79529958378847e-06
region_chr11_9065770_10930480	Astle_et_al_2016_Lymphocyte_counts	1	2.98020923747775e-07
region_chr11_9065770_10930480	Astle_et_al_2016_Red_blood_cell_count	3	2.62388032292279e-17
region_chr11_9065770_10930480	Astle_et_al_2016_Reticulocyte_count	1	9.93135755777446e-07
region_chr11_9065770_10930480	UKB_1200_Sleeplessness_or_insomnia	1	1.31264326314055e-06
region_chr11_92343978_93542991	MAGIC_FastingGlucose	1	3.58222998735207e-34
region_chr11_94509094_95992877	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	6.71839563412262e-16
region_chr12_101468912_102571208	Astle_et_al_2016_Lymphocyte_counts	1	2.7937356297441e-08
region_chr12_102571208_104454918	UKB_23099_Body_fat_percentage	1	1.08528330291983e-06
region_chr12_102571208_104454918	UKB_50_Standing_height	2	3.5672167616178e-07
region_chr12_10328935_11601912	Astle_et_al_2016_Monocyte_count	5	2.6419532853662e-14
region_chr12_106564970_108632125	Astle_et_al_2016_Monocyte_count	1	1.17001981846966e-15
region_chr12_106564970_108632125	GIANT_HEIGHT	1	6.01552211390344e-07
region_chr12_106564970_108632125	UKB_21001_Body_mass_index_BMI	2	6.32993043952524e-09
region_chr12_108632125_109898914	Astle_et_al_2016_Eosinophil_counts	3	5.15691654232534e-09
region_chr12_108632125_109898914	UKB_20127_Neuroticism_score	4	5.27552603253541e-08
region_chr12_108632125_109898914	UKB_50_Standing_height	4	5.5157214316991e-08
region_chr12_109898914_112825713	Astle_et_al_2016_Eosinophil_counts	20	2.77819726401386e-78
region_chr12_109898914_112825713	Astle_et_al_2016_High_light_scatter_reticulocyte_count	20	3.75618448600303e-54
region_chr12_109898914_112825713	Astle_et_al_2016_Myeloid_white_cell_count	8	3.7815083187415e-14
region_chr12_109898914_112825713	Astle_et_al_2016_Platelet_count	11	2.37128791037866e-75
region_chr12_109898914_112825713	Astle_et_al_2016_Red_blood_cell_count	21	1.86366577100638e-20
region_chr12_109898914_112825713	Astle_et_al_2016_Sum_eosinophil_basophil_counts	20	1.7678038138465e-73
region_chr12_109898914_112825713	Astle_et_al_2016_White_blood_cell_count	19	3.58302044877005e-31
region_chr12_109898914_112825713	UKB_20022_Birth_weight	5	5.8851455030798e-07
