region	phenotype	count	best_rcp
region_chr6_29770194_30830391	UKB_20016_Fluid_intelligence_score	3	0.84
region_chr6_31603441_32714887	Astle_et_al_2016_Myeloid_white_cell_count	2	0.764
region_chr6_31603441_32714887	IBD.EUR.Crohns_Disease	13	0.99
region_chr6_6784974_7808703	Astle_et_al_2016_Red_blood_cell_count	4	0.871
region_chr6_81219505_82417432	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.538
region_chr8_143155464_145078481	UKB_6152_8_diagnosed_by_doctor_Asthma	57	0.998
region_chr8_23039544_24817205	Astle_et_al_2016_Myeloid_white_cell_count	2	0.659
region_chr9_132423455_134176000	Astle_et_al_2016_Myeloid_white_cell_count	1	0.62
region_chr9_132423455_134176000	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	5	0.709
region_chr9_4495328_4884926	UKB_50_Standing_height	15	0.999
region_chr10_122141030_124109830	UKB_20022_Birth_weight	4	0.61
region_chr10_13279600_14984069	Astle_et_al_2016_Myeloid_white_cell_count	24	0.887
region_chr10_29494763_30169909	CARDIoGRAM_C4D_CAD_ADDITIVE	2	0.932
region_chr11_117876395_119344766	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.506
region_chr11_1192365_3644251	BCAC_ER_negative_BreastCancer_EUR	3	0.762
region_chr11_15721006_17556855	GIANT_HEIGHT	9	0.967
region_chr11_70855_1192365	Astle_et_al_2016_White_blood_cell_count	29	0.986
region_chr12_102571208_104454918	GIANT_WC_Combined_EUR	1	0.556
region_chr12_119316305_121569746	Astle_et_al_2016_Platelet_count	2	0.628
region_chr12_121569746_124493434	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.587
region_chr12_48608083_51382710	UKB_20002_1065_self_reported_hypertension	6	0.812
region_chr12_51382710_52645220	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.811
region_chr12_52645220_54385039	UKB_20002_1065_self_reported_hypertension	2	0.553
region_chr14_22549721_24435917	Astle_et_al_2016_High_light_scatter_reticulocyte_count	58	0.901
region_chr14_93858939_95284530	Astle_et_al_2016_Sum_eosinophil_basophil_counts	12	1
region_chr16_27434434_29025292	GIANT_WC_Combined_EUR	2	0.742
region_chr16_55869862_57630418	UKB_1180_Morning_or_evening_person_chronotype	2	0.778
region_chr17_18953007_21387045	Astle_et_al_2016_Myeloid_white_cell_count	1	0.612
region_chr17_18953007_21387045	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.65
region_chr17_3799018_4792966	Astle_et_al_2016_Lymphocyte_counts	1	0.505
region_chr19_11173352_13360313	UKB_20002_1065_self_reported_hypertension	26	1
region_chr19_46646825_48778970	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	7	0.703
region_chr1_112730684_114331223	Astle_et_al_2016_Granulocyte_count	2	0.609
region_chr1_112730684_114331223	Astle_et_al_2016_Neutrophil_count	3	0.61
region_chr1_14565015_16571235	Astle_et_al_2016_Red_blood_cell_count	1	0.51
region_chr1_154797927_156366342	UKB_20022_Birth_weight	3	0.845
region_chr1_154797927_156366342	UKB_23099_Body_fat_percentage	10	0.795
region_chr1_3666172_4320751	UKB_50_Standing_height	1	0.516
region_chr1_7187275_9305140	UKB_1180_Morning_or_evening_person_chronotype	5	0.636
region_chr1_93070902_94040635	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.52
region_chr20_57872903_59831517	GIANT_HEIGHT	1	0.672
region_chr20_9750273_11268888	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	2	0.586
region_chr22_37174229_38911889	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	42	0.942
region_chr2_174724201_176498908	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	0.763
region_chr2_94660727_98378738	Astle_et_al_2016_Eosinophil_counts	3	0.872
region_chr3_120804208_122255250	IMMUNOBASE_Multiple_sclerosis_hg19	1	0.641
region_chr3_133533329_135738064	Astle_et_al_2016_Red_blood_cell_count	1	0.566
region_chr3_8606875_9501499	UKB_21001_Body_mass_index_BMI	1	0.508
region_chr4_119012357_119471529	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.592
region_chr4_2841252_3844313	UKB_50_Standing_height	1	0.51
region_chr5_130183332_132803957	Astle_et_al_2016_Monocyte_count	7	0.76
region_chr5_130183332_132803957	Astle_et_al_2016_Platelet_count	2	0.652
region_chr6_109983044_112023811	Astle_et_al_2016_Platelet_count	3	0.676
region_chr6_149932268_151591568	Astle_et_al_2016_Monocyte_count	9	0.656
region_chr6_32714887_33268720	UKB_20002_1222_self_reported_type_1_diabetes	1	1
region_chr6_52345678_53414304	UKB_50_Standing_height	1	0.535
region_chr6_93731457_96645635	CARDIoGRAM_C4D_CAD_ADDITIVE	3	0.6
region_chr7_11259571_12595836	GIANT_HEIGHT	1	0.746
region_chr7_122293576_124516751	UKB_1200_Sleeplessness_or_insomnia	3	0.569
region_chr7_130737653_133121089	Astle_et_al_2016_Platelet_count	1	0.56
region_chr7_139059933_140233377	UKB_50_Standing_height	7	0.579
region_chr7_31097675_33516156	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	0.688
region_chr7_73920272_76829247	UKB_50_Standing_height	5	0.986
region_chr8_127646866_129368893	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	49	0.777
region_chr9_114257521_115159681	UKB_6152_8_diagnosed_by_doctor_Asthma	1	0.509
region_chr9_14836365_16659657	GIANT_WC_Combined_EUR	1	0.568
region_chr9_89827251_91404921	IBD.EUR.Inflammatory_Bowel_Disease	19	0.669
region_chr9_89827251_91404921	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.529
region_chr10_102620653_104935290	Astle_et_al_2016_Myeloid_white_cell_count	4	0.787
region_chr10_25289667_26599755	Astle_et_al_2016_Eosinophil_counts	3	0.634
region_chr10_44234627_46978910	Astle_et_al_2016_High_light_scatter_reticulocyte_count	12	0.982
region_chr11_1192365_3644251	UKB_21001_Body_mass_index_BMI	2	0.863
region_chr11_46984586_49844498	GLGC_Mc_TG	2	0.683
region_chr12_119316305_121569746	Astle_et_al_2016_White_blood_cell_count	104	0.949
region_chr12_119316305_121569746	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	2	0.624
region_chr12_25218149_27646840	Astle_et_al_2016_Granulocyte_count	1	0.524
region_chr12_48608083_51382710	UKB_20016_Fluid_intelligence_score	2	0.512
region_chr12_6310587_8224940	Astle_et_al_2016_Eosinophil_counts	6	0.817
region_chr14_63323296_64753580	Astle_et_al_2016_Red_blood_cell_count	2	0.76
region_chr15_76106283_78223711	Astle_et_al_2016_Reticulocyte_count	1	0.589
region_chr17_5838014_7414079	UKB_23099_Body_fat_percentage	1	0.643
region_chr17_74676064_76379479	UKB_20002_1473_self_reported_high_cholesterol	2	0.537
region_chr17_76379479_78267332	Astle_et_al_2016_Platelet_count	4	0.939
region_chr19_11173352_13360313	Astle_et_al_2016_Lymphocyte_counts	1	0.684
region_chr19_16263605_18299052	UKB_20002_1065_self_reported_hypertension	3	0.871
region_chr19_19766662_20722951	GLGC_Mc_TG	2	0.84
region_chr19_43358303_44239955	Astle_et_al_2016_Neutrophil_count	20	0.987
region_chr19_610729_2098397	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	70	0.978
region_chr19_6684874_8282629	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	0.684
region_chr19_9127717_11173352	UKB_1160_Sleep_duration	1	0.531
region_chr1_10583_1961168	Astle_et_al_2016_Platelet_count	1	0.858
region_chr1_173128768_175120632	UKB_6152_8_diagnosed_by_doctor_Asthma	3	0.626
region_chr1_37083582_38266175	GIANT_HEIGHT	46	0.694
region_chr20_48583442_50623121	GIANT_HEIGHT	3	0.569
region_chr20_62670503_63558827	pgc.scz2	1	0.769
region_chr22_19924835_22002927	Astle_et_al_2016_Monocyte_count	13	0.761
region_chr22_23370460_24588236	Astle_et_al_2016_White_blood_cell_count	2	0.616
region_chr22_49430885_50804870	UKB_50_Standing_height	1	0.548
region_chr2_141761033_143761915	Astle_et_al_2016_Lymphocyte_counts	2	0.626
region_chr2_166499460_169111726	Astle_et_al_2016_Myeloid_white_cell_count	103	0.94
region_chr2_166499460_169111726	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	103	0.942
region_chr3_137652241_140235755	CARDIoGRAM_C4D_CAD_ADDITIVE	5	0.944
region_chr3_51797999_54047363	Astle_et_al_2016_Lymphocyte_counts	1	0.619
region_chr3_98497106_99654918	Astle_et_al_2016_Myeloid_white_cell_count	8	0.844
region_chr4_154134974_156563945	CARDIoGRAM_C4D_CAD_ADDITIVE	52	0.903
region_chr4_38905401_40200989	Astle_et_al_2016_Lymphocyte_counts	1	0.587
region_chr5_54407214_56121522	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.634
region_chr6_14802693_17386174	Astle_et_al_2016_Reticulocyte_count	16	0.935
region_chr6_28949831_29770194	Astle_et_al_2016_Reticulocyte_count	3	0.895
region_chr6_31603441_32714887	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	2	0.881
region_chr6_33268720_35487979	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.915
region_chr6_33268720_35487979	UKB_20002_1453_self_reported_psoriasis	23	0.892
region_chr6_35487979_37604820	Astle_et_al_2016_Neutrophil_count	2	0.835
region_chr8_23039544_24817205	Astle_et_al_2016_Granulocyte_count	1	0.659
region_chr9_132423455_134176000	Astle_et_al_2016_Neutrophil_count	1	0.594
region_chr10_101189482_102620653	Astle_et_al_2016_Platelet_count	30	0.688
region_chr10_13279600_14984069	Astle_et_al_2016_Sum_basophil_neutrophil_counts	29	0.866
region_chr10_26599755_29034307	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	16	0.611
region_chr10_79116992_80654923	Astle_et_al_2016_Reticulocyte_count	1	0.512
region_chr10_79116992_80654923	UKB_20002_1111_self_reported_asthma	1	0.554
region_chr11_55315181_58690022	Astle_et_al_2016_Eosinophil_counts	6	0.905
region_chr11_64037097_66131160	Astle_et_al_2016_Eosinophil_counts	1	0.705
region_chr14_64753580_65932837	Astle_et_al_2016_Neutrophil_count	1	0.597
region_chr14_93858939_95284530	Astle_et_al_2016_Eosinophil_counts	13	1
region_chr17_1269105_2025437	Astle_et_al_2016_White_blood_cell_count	1	0.654
region_chr17_1269105_2025437	GIANT_HEIGHT	24	0.869
region_chr17_29007226_31459473	EGG_BW3_EUR	1	0.638
region_chr17_41743558_43694719	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	2	0.604
region_chr17_44979537_47798656	UKB_20002_1065_self_reported_hypertension	2	0.675
region_chr19_44239955_45599439	CARDIoGRAM_C4D_CAD_ADDITIVE	3	0.801
region_chr19_610729_2098397	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.512
region_chr19_6684874_8282629	Astle_et_al_2016_Neutrophil_count	3	0.658
region_chr19_9127717_11173352	Astle_et_al_2016_Reticulocyte_count	5	0.721
region_chr1_111199115_112730684	Astle_et_al_2016_Platelet_count	2	0.572
region_chr1_112730684_114331223	BCAC_Overall_BreastCancer_EUR	32	0.823
region_chr1_151566405_153208353	CARDIoGRAM_C4D_CAD_ADDITIVE	2	0.56
region_chr1_153208353_154797927	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	10	0.907
region_chr1_16571235_18336405	UKB_21001_Body_mass_index_BMI	23	0.586
region_chr1_3666172_4320751	Astle_et_al_2016_Red_blood_cell_count	2	0.729
region_chr1_7187275_9305140	Astle_et_al_2016_Eosinophil_counts	21	0.875
region_chr20_63558827_64333810	UKB_20022_Birth_weight	25	0.736
region_chr22_40149793_42294812	UKB_50_Standing_height	1	0.669
region_chr22_49430885_50804870	Astle_et_al_2016_High_light_scatter_reticulocyte_count	6	0.551
region_chr2_166499460_169111726	Astle_et_al_2016_Sum_basophil_neutrophil_counts	103	0.932
region_chr2_19492643_20850730	UKB_20002_1473_self_reported_high_cholesterol	1	0.576
region_chr3_100873373_103366116	Astle_et_al_2016_Eosinophil_counts	6	0.621
region_chr3_36445350_38314625	UKB_50_Standing_height	1	0.77
region_chr3_47685722_49279539	IBD.EUR.Ulcerative_Colitis	19	0.738
region_chr3_47685722_49279539	UKB_1200_Sleeplessness_or_insomnia	3	0.703
region_chr3_8606875_9501499	UKB_23099_Body_fat_percentage	1	0.6
region_chr3_9501499_10977979	UKB_50_Standing_height	108	1
region_chr4_38905401_40200989	Astle_et_al_2016_Sum_eosinophil_basophil_counts	25	0.685
region_chr5_177824506_178986463	GIANT_HEIGHT	1	0.645
region_chr5_66615458_68555033	EGG_BW3_EUR	1	0.55
region_chr5_68555033_71944629	Astle_et_al_2016_Granulocyte_count	115	0.783
region_chr5_74463501_76503041	UKB_23099_Body_fat_percentage	4	0.696
region_chr6_30830391_31603441	IBD.EUR.Inflammatory_Bowel_Disease	1	0.693
region_chr6_32714887_33268720	Astle_et_al_2016_Red_blood_cell_count	1	0.733
region_chr6_33268720_35487979	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	68	0.866
region_chr7_72409900_73920272	Astle_et_al_2016_Granulocyte_count	2	0.532
region_chr7_82393370_84171887	GIANT_HEIGHT	1	0.509
region_chr8_21804225_23039544	Astle_et_al_2016_Platelet_count	12	0.879
region_chr10_122141030_124109830	EGG_BW3_EUR	4	0.654
region_chr11_32255355_33937192	UKB_20002_1065_self_reported_hypertension	5	0.727
region_chr11_46984586_49844498	GIANT_WC_Combined_EUR	45	0.849
region_chr11_64037097_66131160	Astle_et_al_2016_Red_blood_cell_count	77	0.789
region_chr12_109898914_112825713	CARDIoGRAM_C4D_CAD_ADDITIVE	1	0.743
region_chr12_121569746_124493434	UKB_20002_1065_self_reported_hypertension	1	0.527
region_chr12_121569746_124493434	UKB_23099_Body_fat_percentage	1	0.618
region_chr12_25218149_27646840	Astle_et_al_2016_Myeloid_white_cell_count	1	0.508
region_chr12_57155077_58914885	UKB_6152_8_diagnosed_by_doctor_Asthma	8	0.813
region_chr12_78176790_80054370	UKB_20016_Fluid_intelligence_score	8	0.908
region_chr13_112918174_114344378	GIANT_HEIGHT	39	0.592
region_chr15_49715846_51385363	Astle_et_al_2016_Neutrophil_count	2	0.719
region_chr16_55869862_57630418	Astle_et_al_2016_Monocyte_count	1	0.738
region_chr17_5838014_7414079	Astle_et_al_2016_Neutrophil_count	9	0.864
region_chr17_5838014_7414079	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	0.559
region_chr18_54027805_57546606	UKB_1200_Sleeplessness_or_insomnia	1	0.528
region_chr19_44239955_45599439	Astle_et_al_2016_Myeloid_white_cell_count	2	0.738
region_chr19_46646825_48778970	Astle_et_al_2016_Monocyte_count	1	0.545
region_chr19_46646825_48778970	UKB_50_Standing_height	16	0.561
region_chr19_9127717_11173352	IBD.EUR.Inflammatory_Bowel_Disease	32	0.869
region_chr1_153208353_154797927	Astle_et_al_2016_Platelet_count	32	0.709
region_chr1_206268085_208237019	Astle_et_al_2016_Lymphocyte_counts	6	0.941
region_chr1_76262450_79195513	Astle_et_al_2016_Myeloid_white_cell_count	1	0.529
region_chr22_17813322_19924835	UKB_21001_Body_mass_index_BMI	1	0.51
region_chr22_35134992_37174229	Astle_et_al_2016_Platelet_count	5	0.994
region_chr22_38911889_40149793	Astle_et_al_2016_Monocyte_count	1	0.522
region_chr2_109814855_113164279	Astle_et_al_2016_Red_blood_cell_count	16	0.996
region_chr2_160913222_162647041	Astle_et_al_2016_Lymphocyte_counts	1	0.538
region_chr2_189017339_191108631	Astle_et_al_2016_Eosinophil_counts	1	0.56
region_chr2_223994702_224975287	UKB_20022_Birth_weight	3	0.776
region_chr2_239030947_240620667	Astle_et_al_2016_Red_blood_cell_count	1	0.534
region_chr3_49279539_51797999	IBD.EUR.Crohns_Disease	37	0.683
region_chr3_63683610_65287863	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	4	0.851
region_chr4_6771316_7537965	Astle_et_al_2016_Monocyte_count	4	0.721
region_chr4_700926_1476986	GIANT_HEIGHT	10	0.715
region_chr5_74463501_76503041	GIANT_2017_BMI_Active_EUR	6	0.844
region_chr6_129539886_130614309	UKB_50_Standing_height	27	1
region_chr6_157797687_160159465	CARDIoGRAM_C4D_CAD_ADDITIVE	1	0.686
region_chr6_25684359_26791023	Astle_et_al_2016_Red_blood_cell_count	2	0.544
region_chr6_30830391_31603441	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	2	0.995
region_chr6_30830391_31603441	IBD.EUR.Crohns_Disease	1	0.823
region_chr6_31603441_32714887	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	3	0.937
region_chr6_32714887_33268720	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.669
region_chr6_33268720_35487979	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	11	0.882
region_chr6_39327901_40377376	UKB_50_Standing_height	2	0.929
region_chr7_7769121_9083793	UKB_50_Standing_height	1	0.512
region_chr9_110015744_112068802	UKB_50_Standing_height	6	0.871
region_chr9_132423455_134176000	Astle_et_al_2016_Granulocyte_count	1	0.602
region_chr9_132423455_134176000	Astle_et_al_2016_Reticulocyte_count	1	0.74
region_chr10_132681169_133786540	UKB_20002_1065_self_reported_hypertension	2	0.781
region_chr10_71748755_73662792	Astle_et_al_2016_Neutrophil_count	16	0.996
region_chr10_93636611_94461486	EGG_BW3_EUR	2	0.649
region_chr11_124625632_126441425	UKB_50_Standing_height	1	0.866
region_chr11_130472680_131204717	UKB_23099_Body_fat_percentage	21	0.909
region_chr11_55315181_58690022	UKB_20002_1473_self_reported_high_cholesterol	1	0.512
region_chr11_59013076_62456299	GLGC_Mc_TG	2	0.644
region_chr11_59013076_62456299	IBD.EUR.Crohns_Disease	6	0.574
region_chr11_70855_1192365	Astle_et_al_2016_Platelet_count	6	0.873
region_chr11_70855_1192365	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	27	0.995
region_chr12_121569746_124493434	Astle_et_al_2016_Platelet_count	1	0.536
region_chr12_124493434_125960959	UKB_50_Standing_height	2	0.598
region_chr13_112918174_114344378	Astle_et_al_2016_White_blood_cell_count	1	0.516
region_chr13_75096006_76836420	Astle_et_al_2016_Red_blood_cell_count	1	0.55
region_chr14_64753580_65932837	Astle_et_al_2016_Myeloid_white_cell_count	1	0.588
region_chr15_100096642_101012489	GIANT_HEIGHT	1	0.879
region_chr16_20139249_22437583	Astle_et_al_2016_Eosinophil_counts	1	0.516
region_chr17_21387045_29007226	UKB_20022_Birth_weight	19	0.562
region_chr17_66804312_69862629	Astle_et_al_2016_Reticulocyte_count	63	0.754
region_chr17_74676064_76379479	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.729
region_chr17_74676064_76379479	UKB_20002_1111_self_reported_asthma	2	0.522
region_chr19_15537799_16263605	Astle_et_al_2016_Sum_eosinophil_basophil_counts	10	0.789
region_chr19_18299052_19766662	Astle_et_al_2016_Lymphocyte_counts	8	0.62
region_chr19_18299052_19766662	UKB_50_Standing_height	1	0.505
region_chr19_610729_2098397	Astle_et_al_2016_Granulocyte_count	71	0.971
region_chr1_156366342_158057622	UKB_20002_1265_self_reported_migraine	3	0.603
region_chr1_222056878_224750818	CARDIoGRAM_C4D_CAD_ADDITIVE	4	0.733
region_chr1_91420760_93070902	Astle_et_al_2016_Myeloid_white_cell_count	1	0.525
region_chr20_40982216_41957049	Astle_et_al_2016_Reticulocyte_count	5	0.788
region_chr20_9750273_11268888	UKB_20002_1065_self_reported_hypertension	2	0.688
region_chr22_17193405_17813322	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.561
region_chr2_164322330_166303760	Astle_et_al_2016_Reticulocyte_count	10	0.865
region_chr2_232685293_234242343	Astle_et_al_2016_Eosinophil_counts	2	0.613
region_chr2_232685293_234242343	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.58
region_chr2_8282017_10158342	UKB_6152_8_diagnosed_by_doctor_Asthma	2	0.672
region_chr3_140235755_141620255	UKB_50_Standing_height	15	0.969
region_chr3_46616010_47685722	Astle_et_al_2016_Reticulocyte_count	1	0.737
region_chr4_24133906_25607700	UKB_23099_Body_fat_percentage	2	0.913
region_chr5_130183332_132803957	Astle_et_al_2016_White_blood_cell_count	5	0.77
region_chr5_68555033_71944629	Astle_et_al_2016_Myeloid_white_cell_count	120	0.775
region_chr6_157797687_160159465	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.708
region_chr6_30830391_31603441	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	0.565
region_chr6_35487979_37604820	Astle_et_al_2016_Granulocyte_count	2	0.789
region_chr6_35487979_37604820	Astle_et_al_2016_Lymphocyte_counts	8	0.724
region_chr6_40377376_42070983	Astle_et_al_2016_Monocyte_count	2	0.827
region_chr6_73924_1452127	Astle_et_al_2016_White_blood_cell_count	5	0.983
region_chr7_150143569_151014417	UKB_20002_1065_self_reported_hypertension	1	0.615
region_chr7_25869935_28320690	UKB_20002_1065_self_reported_hypertension	5	0.709
region_chr7_28320690_31097675	Astle_et_al_2016_Reticulocyte_count	89	0.852
region_chr9_136605890_138254346	Astle_et_al_2016_White_blood_cell_count	20	0.825
region_chr9_4884926_6557589	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	0.777
region_chr9_82825886_84323281	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.54
region_chr10_102620653_104935290	pgc.scz2	1	0.693
region_chr10_130781981_132522825	UKB_23099_Body_fat_percentage	6	0.634
region_chr10_87367307_89253624	Astle_et_al_2016_White_blood_cell_count	33	0.827
region_chr10_98908643_101189482	IBD.EUR.Inflammatory_Bowel_Disease	5	0.651
region_chr11_59013076_62456299	MAGIC_FastingGlucose	1	0.625
region_chr11_9065770_10930480	Astle_et_al_2016_Platelet_count	3	0.599
region_chr12_109898914_112825713	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	4	0.707
region_chr14_34377045_35390387	Astle_et_al_2016_Neutrophil_count	4	0.716
region_chr15_40091931_40885316	pgc.scz2	1	0.564
region_chr15_51385363_52776899	UKB_50_Standing_height	1	0.79
region_chr15_89932319_91621162	EGG_BW3_EUR	111	0.895
region_chr16_10332175_11426305	UKB_20002_1111_self_reported_asthma	2	0.6
region_chr16_29025292_31371622	Astle_et_al_2016_Reticulocyte_count	17	0.655
region_chr16_88974757_90226404	Astle_et_al_2016_Lymphocyte_counts	6	0.916
region_chr17_2025437_3799018	Astle_et_al_2016_Granulocyte_count	1	0.558
region_chr17_74676064_76379479	UKB_20002_1065_self_reported_hypertension	12	0.769
region_chr19_37036131_39679979	Astle_et_al_2016_Eosinophil_counts	2	0.581
region_chr19_55216712_57009967	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	2	0.663
region_chr1_10583_1961168	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	0.513
region_chr1_118296444_148907004	Astle_et_al_2016_Red_blood_cell_count	6	0.896
region_chr1_25190354_27075376	Astle_et_al_2016_Myeloid_white_cell_count	3	0.579
region_chr1_66473721_68012212	IBD.EUR.Crohns_Disease	1	0.53
region_chr1_7187275_9305140	Astle_et_al_2016_Lymphocyte_counts	16	0.815
region_chr20_44051536_46210417	UKB_50_Standing_height	28	0.886
region_chr21_14578661_16680846	EGG_BW3_EUR	2	0.907
region_chr21_46072312_46699840	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	19	0.785
region_chr22_15927607_17193405	Astle_et_al_2016_Myeloid_white_cell_count	23	0.955
region_chr22_17193405_17813322	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.545
region_chr22_23370460_24588236	Astle_et_al_2016_Monocyte_count	15	0.89
region_chr2_141761033_143761915	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	0.757
region_chr2_239030947_240620667	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	0.66
region_chr2_26672117_28375910	Astle_et_al_2016_Sum_basophil_neutrophil_counts	6	0.79
region_chr3_110794923_113096852	Astle_et_al_2016_Eosinophil_counts	12	0.717
region_chr4_700926_1476986	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	0.923
region_chr5_130183332_132803957	GIANT_HEIGHT	5	0.734
region_chr5_88094174_89595713	Astle_et_al_2016_Platelet_count	1	0.809
region_chr6_29770194_30830391	Astle_et_al_2016_Eosinophil_counts	1	0.874
region_chr6_30830391_31603441	UKB_20022_Birth_weight	6	0.783
region_chr6_31603441_32714887	Astle_et_al_2016_Neutrophil_count	1	0.682
region_chr6_40377376_42070983	UKB_20022_Birth_weight	1	0.614
region_chr7_150143569_151014417	GIANT_HEIGHT	1	0.613
