region	phenotype	count	best_pvalue
region_chr6_29770194_30830391	Astle_et_al_2016_Eosinophil_counts	294	1.99574466003598e-69
region_chr6_30830391_31603441	UKB_20002_1464_self_reported_rheumatoid_arthritis	79	8.30291283420836e-18
region_chr6_31603441_32714887	EAGLE_Eczema	24	3.31999710607668e-09
region_chr6_31603441_32714887	UKB_20002_1065_self_reported_hypertension	229	4.90848039594211e-17
region_chr6_31603441_32714887	UKB_20002_1463_self_reported_ulcerative_colitis	129	8.01392422122642e-22
region_chr6_32714887_33268720	UKB_6152_8_diagnosed_by_doctor_Asthma	232	3.00292945430344e-101
region_chr6_6784974_7808703	Astle_et_al_2016_Lymphocyte_counts	2	5.61499978214311e-10
region_chr7_134622844_135906335	Astle_et_al_2016_High_light_scatter_reticulocyte_count	5	2.56348354913356e-09
region_chr7_140535410_141526757	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	6.96520137193107e-08
region_chr7_16862445_19441924	UKB_50_Standing_height	14	1.16412249965605e-08
region_chr7_31097675_33516156	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	8.11299498320602e-09
region_chr7_5814895_6534226	Astle_et_al_2016_Lymphocyte_counts	16	3.11186242563382e-11
region_chr7_73920272_76829247	UKB_23099_Body_fat_percentage	90	1.64574127437233e-13
region_chr8_10605687_11421489	UKB_20002_1065_self_reported_hypertension	44	6.60722786326088e-12
region_chr9_1916877_3190064	Astle_et_al_2016_Platelet_count	2	5.63327262799189e-11
region_chr10_102620653_104935290	UKB_21001_Body_mass_index_BMI	2	5.53392850482881e-10
region_chr10_117764423_118831841	UKB_50_Standing_height	17	8.72178979362623e-11
region_chr11_117876395_119344766	UKB_50_Standing_height	87	1.28202926311017e-12
region_chr11_46984586_49844498	MAGIC_FastingGlucose	1	3.08399809149352e-09
region_chr11_59013076_62456299	Astle_et_al_2016_Myeloid_white_cell_count	92	7.65578413657564e-12
region_chr11_66131160_68238358	GIANT_HEIGHT	86	5.49983222467162e-28
region_chr13_112918174_114344378	Astle_et_al_2016_Lymphocyte_counts	2	8.50379478455723e-11
region_chr13_26710225_28683414	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	4.20122633974309e-30
region_chr14_102545765_104535386	Astle_et_al_2016_Lymphocyte_counts	23	5.29125333723189e-15
region_chr14_93858939_95284530	UKB_50_Standing_height	9	1.29042049267866e-42
region_chr15_64812469_66802429	Astle_et_al_2016_Monocyte_count	6	2.7918565474996e-08
region_chr15_89932319_91621162	Astle_et_al_2016_Lymphocyte_counts	79	1.15537364497337e-20
region_chr15_89932319_91621162	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	72	1.00589889873575e-21
region_chr15_97487680_98700830	EGG_BW3_EUR	2	2.30000152362866e-09
region_chr16_53348660_55869862	UKB_23099_Body_fat_percentage	3	3.91391394354114e-44
region_chr16_55869862_57630418	MAGNETIC_HDL.C	39	1.82050762373634e-107
region_chr16_85115079_86122993	Astle_et_al_2016_Granulocyte_count	3	3.6396714668054e-15
region_chr16_87613743_88974757	Astle_et_al_2016_Platelet_count	12	1.2510007195028e-12
region_chr17_38653091_40721152	Astle_et_al_2016_Eosinophil_counts	1	6.01300101334078e-09
region_chr17_38653091_40721152	Astle_et_al_2016_White_blood_cell_count	523	2.28512210983995e-194
region_chr17_44979537_47798656	Astle_et_al_2016_Sum_basophil_neutrophil_counts	70	3.14633600531522e-11
region_chr17_47798656_49440038	UKB_21001_Body_mass_index_BMI	113	1.15867217253587e-13
region_chr17_59410151_61235394	Astle_et_al_2016_Monocyte_count	161	1.05305498446668e-37
region_chr17_61235394_63468228	Astle_et_al_2016_Red_blood_cell_count	2	4.24386258193107e-08
region_chr17_69862629_71391676	GIANT_HEIGHT	4	2.20000462301874e-16
region_chr17_74676064_76379479	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	4.33100001867757e-09
region_chr18_23069508_25416687	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	56	1.9489792762492e-11
region_chr18_42312683_45342141	Astle_et_al_2016_Myeloid_white_cell_count	1	6.14300893413258e-10
region_chr18_45342141_46719283	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	31	4.4546522399046e-10
region_chr19_18299052_19766662	GIANT_HEIGHT	167	1.19999987940703e-14
region_chr19_18299052_19766662	pgc.scz2	26	1.97857377070061e-09
region_chr19_48778970_51029311	Astle_et_al_2016_High_light_scatter_reticulocyte_count	43	4.55799687669949e-13
region_chr19_9127717_11173352	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	2	4.52507842373351e-08
region_chr1_151566405_153208353	UKB_20002_1452_self_reported_eczema_or_dermatitis	111	3.72072468676865e-34
region_chr1_154797927_156366342	Astle_et_al_2016_Red_blood_cell_count	90	9.61534430054982e-13
region_chr1_166491280_169117086	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	10	8.5827568587299e-20
region_chr1_222056878_224750818	GIANT_HEIGHT	3	1.46535636775592e-08
region_chr1_226623159_229020501	Astle_et_al_2016_Granulocyte_count	3	1.27100153368183e-11
region_chr1_34334157_37083582	Astle_et_al_2016_White_blood_cell_count	16	3.20599319160581e-31
region_chr1_3666172_4320751	Astle_et_al_2016_Reticulocyte_count	73	6.15783631836104e-45
region_chr1_7187275_9305140	UKB_23099_Body_fat_percentage	13	3.55630678906374e-10
region_chr1_7187275_9305140	UKB_50_Standing_height	15	1.6539582858224e-16
region_chr1_76262450_79195513	GIANT_HEIGHT	42	2.45850645055252e-16
region_chr20_18991559_20979069	GIANT_HEIGHT	8	1.79999742727308e-10
region_chr20_40982216_41957049	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	31	1.31966621621741e-16
region_chr21_37339402_39110976	IBD.EUR.Ulcerative_Colitis	4	6.46830143555267e-15
region_chr22_35134992_37174229	Astle_et_al_2016_Sum_eosinophil_basophil_counts	21	6.35530714065627e-15
region_chr22_38911889_40149793	UKB_20016_Fluid_intelligence_score	39	2.83859808966569e-09
region_chr2_101205867_102072305	IBD.EUR.Inflammatory_Bowel_Disease	4	7.66999962785330e-09
region_chr2_101205867_102072305	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	13	2.39531270785819e-32
region_chr2_102072305_102971757	UKB_20002_1111_self_reported_asthma	62	1.85520616993616e-48
region_chr2_120546207_122545330	UKB_50_Standing_height	1	5.61052865723946e-13
region_chr2_134401007_136285224	UKB_23099_Body_fat_percentage	30	1.33203089449276e-09
region_chr2_200711561_201953914	UKB_50_Standing_height	61	5.04042712109353e-10
region_chr2_23118512_24464049	Astle_et_al_2016_Neutrophil_count	19	1.73679948149407e-09
region_chr2_235134906_236540389	Astle_et_al_2016_White_blood_cell_count	3	1.76300086782374e-11
region_chr2_40054343_43082452	UKB_50_Standing_height	13	2.01911815114895e-13
region_chr2_87738988_88855013	UKB_50_Standing_height	34	1.39953753109104e-32
region_chr3_156290911_157594239	GIANT_HEIGHT	3	1.90000180277248e-08
region_chr3_47685722_49279539	UKB_50_Standing_height	331	7.89631010944282e-25
region_chr3_69227611_70399877	Astle_et_al_2016_Red_blood_cell_count	1	8.42998755271686e-12
region_chr4_102300199_104384137	UKB_20002_1065_self_reported_hypertension	79	6.5004834684161e-10
region_chr4_53011266_54563389	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	2	2.99320951931556e-10
region_chr4_54563389_55681477	UKB_50_Standing_height	1	5.93054211915517e-08
region_chr4_71274841_73726673	UKB_50_Standing_height	27	4.58983199710261e-42
region_chr5_171647288_173251324	GIANT_HEIGHT	1	7.69473123461555e-10
region_chr5_178986463_179974244	Astle_et_al_2016_Granulocyte_count	29	2.67816307706165e-12
region_chr5_178986463_179974244	UKB_23099_Body_fat_percentage	2	2.56558880204083e-08
region_chr5_96627815_97979897	IBD.EUR.Crohns_Disease	61	1.07100055150936e-11
region_chr6_108143176_109983044	UKB_23099_Body_fat_percentage	2	4.4103625109438e-09
region_chr6_19207256_21683834	GIANT_HEIGHT	7	3.99999316964886e-17
region_chr6_25684359_26791023	RA_OKADA_TRANS_ETHNIC	4	1.7692592332651e-11
region_chr6_26791023_28050041	UKB_20002_1111_self_reported_asthma	12	1.33560455883444e-08
region_chr6_28949831_29770194	Astle_et_al_2016_White_blood_cell_count	125	7.73691002934352e-62
region_chr6_30830391_31603441	Astle_et_al_2016_Granulocyte_count	360	2.91630001880351e-69
region_chr6_31603441_32714887	UKB_20002_1464_self_reported_rheumatoid_arthritis	568	5.24750364739556e-61
region_chr6_33268720_35487979	Astle_et_al_2016_Reticulocyte_count	2	2.24220558565307e-08
region_chr7_100599028_101555972	Astle_et_al_2016_Platelet_count	53	3.51532561303235e-14
region_chr7_104519078_106042459	pgc.scz2	12	4.51409648407069e-09
region_chr7_129138332_130737653	CARDIoGRAM_C4D_CAD_ADDITIVE	2	4.23709487373704e-10
region_chr7_150143569_151014417	UKB_20002_1473_self_reported_high_cholesterol	15	2.14754079327989e-08
region_chr7_43119475_44724229	MAGIC_FastingGlucose	13	3.81159938828717e-35
region_chr7_46947122_49172682	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	7.37699765933253e-09
region_chr7_66224822_68769087	Astle_et_al_2016_Myeloid_white_cell_count	1	6.98762275792133e-09
region_chr8_127646866_129368893	Astle_et_al_2016_Eosinophil_counts	2	2.41085513566502e-14
region_chr8_19635329_20203345	MAGNETIC_HDL.C	7	1.27513249682332e-15
region_chr8_58156092_58815541	UKB_20002_1473_self_reported_high_cholesterol	2	3.23774295582151e-10
region_chr8_72904964_74532829	UKB_21001_Body_mass_index_BMI	1	1.52411575029727e-08
region_chr8_9783277_10605687	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	4	2.32955723987612e-08
region_chr9_132423455_134176000	Astle_et_al_2016_Monocyte_count	34	1.0104908923225e-20
region_chr9_1916877_3190064	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	3.36437607978879e-15
region_chr9_1916877_3190064	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	4	9.47056406513367e-17
region_chr10_124109830_126312529	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	21	8.22389397412235e-34
region_chr10_96062600_98481545	UKB_21001_Body_mass_index_BMI	43	4.84254166308259e-15
region_chr11_106650168_107973474	UKB_20002_1065_self_reported_hypertension	2	7.61805366110245e-09
region_chr11_46984586_49844498	GIANT_HEIGHT	370	8.46577365311887e-25
region_chr11_59013076_62456299	UKB_50_Standing_height	146	7.23346693473527e-16
region_chr11_66131160_68238358	UKB_21001_Body_mass_index_BMI	1	7.09577147240418e-10
region_chr11_74701306_77086163	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	49	5.96766057180477e-31
region_chr12_10328935_11601912	Astle_et_al_2016_Monocyte_count	98	1.27978455721098e-16
region_chr12_109898914_112825713	Astle_et_al_2016_Myeloid_white_cell_count	95	7.34952011620864e-14
region_chr12_109898914_112825713	UKB_20022_Birth_weight	1	1.00230546693181e-09
region_chr14_34377045_35390387	UKB_50_Standing_height	1	3.24609782564192e-08
region_chr14_90830516_92665954	Astle_et_al_2016_Monocyte_count	4	3.00588417235908e-13
region_chr14_92665954_93858939	UKB_21001_Body_mass_index_BMI	40	6.69050619883404e-17
region_chr15_78223711_80568637	Astle_et_al_2016_Monocyte_count	42	1.87003090039005e-101
region_chr16_13060580_14370145	UKB_50_Standing_height	21	7.78885103323667e-22
region_chr16_2714828_3951195	Astle_et_al_2016_White_blood_cell_count	7	3.28071717006507e-09
region_chr16_27434434_29025292	SSGAC_Education_Years_Pooled	137	2.68600175604289e-09
region_chr16_29025292_31371622	Astle_et_al_2016_Red_blood_cell_count	612	2.12732781744291e-27
region_chr17_2025437_3799018	Astle_et_al_2016_Monocyte_count	2	2.22387489848138e-08
region_chr17_34585779_36141651	Astle_et_al_2016_Reticulocyte_count	268	7.2384985343224e-118
region_chr17_44979537_47798656	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	24	6.93848360490875e-15
region_chr17_63468228_65152010	UKB_20002_1065_self_reported_hypertension	43	2.65523399931025e-15
region_chr17_7414079_8403107	Astle_et_al_2016_Neutrophil_count	4	4.95699816048401e-08
region_chr17_7414079_8403107	UKB_20002_1065_self_reported_hypertension	108	7.10143718327889e-15
region_chr17_74676064_76379479	Astle_et_al_2016_High_light_scatter_reticulocyte_count	12	4.41111201732986e-19
region_chr19_18299052_19766662	BCAC_ER_negative_BreastCancer_EUR	70	3.67576695684897e-11
region_chr19_48778970_51029311	UKB_50_Standing_height	77	3.8897756144071e-12
region_chr19_52482037_54099074	Astle_et_al_2016_Monocyte_count	7	4.93101346886927e-36
region_chr1_102433189_103371589	GIANT_HEIGHT	3	7.00000341151782e-12
region_chr1_111199115_112730684	UKB_21001_Body_mass_index_BMI	4	2.07079529584353e-09
region_chr1_170588635_173128768	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	3	5.5723183688769e-09
region_chr1_222056878_224750818	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	24	5.23437247055393e-10
region_chr1_235656136_237392328	Astle_et_al_2016_White_blood_cell_count	23	5.66003317393569e-16
region_chr1_25190354_27075376	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	2.20762754632496e-08
region_chr1_61456693_62989418	UKB_20002_1473_self_reported_high_cholesterol	58	8.13896445366549e-23
region_chr1_71218722_73861224	UKB_21001_Body_mass_index_BMI	34	8.85573210828124e-27
region_chr1_83526065_84378812	UKB_23099_Body_fat_percentage	2	4.22494479640715e-08
region_chr1_97419693_99335048	UKB_23099_Body_fat_percentage	3	7.16941608739005e-09
region_chr21_46072312_46699840	Astle_et_al_2016_White_blood_cell_count	42	1.05789330803012e-09
region_chr2_10133_1777250	UKB_21001_Body_mass_index_BMI	25	1.43781213075252e-16
region_chr2_102072305_102971757	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	45	1.37005357415847e-39
region_chr2_113164279_116014894	UKB_1160_Sleep_duration	4	3.68182030825903e-39
region_chr2_164322330_166303760	Astle_et_al_2016_High_light_scatter_reticulocyte_count	6	4.88541480884746e-11
region_chr2_217530757_219589829	Astle_et_al_2016_Monocyte_count	297	1.09803271721378e-16
region_chr2_237852338_239030947	UKB_1180_Morning_or_evening_person_chronotype	14	2.53156568499924e-19
region_chr2_28375910_28994693	UKB_20002_1065_self_reported_hypertension	1	5.20932868004589e-08
region_chr2_43082452_44086664	UKB_20002_1473_self_reported_high_cholesterol	33	3.74072792719127e-39
region_chr2_8282017_10158342	UKB_20022_Birth_weight	62	6.47643818065439e-22
region_chr3_141620255_143445786	Astle_et_al_2016_High_light_scatter_reticulocyte_count	32	3.26162888876777e-11
region_chr3_42498510_45123661	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	17	1.47100185161731e-11
region_chr3_46616010_47685722	Astle_et_al_2016_Lymphocyte_counts	195	2.3072056020558e-19
region_chr3_47685722_49279539	UKB_1200_Sleeplessness_or_insomnia	3	1.39404700121331e-08
region_chr3_49279539_51797999	UKB_23099_Body_fat_percentage	465	5.8704896861248e-23
region_chr4_142522112_145257035	Astle_et_al_2016_Monocyte_count	13	2.29799782469688e-10
region_chr4_54563389_55681477	Astle_et_al_2016_Myeloid_white_cell_count	12	4.37999915474721e-10
region_chr5_109298233_111485446	Astle_et_al_2016_Sum_eosinophil_basophil_counts	78	1.35225301193482e-21
region_chr5_128008912_130183332	UKB_50_Standing_height	7	3.15933482238776e-23
region_chr5_132803957_135441711	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	6	6.45163747018167e-08
region_chr5_173251324_174215868	UKB_50_Standing_height	37	3.03492374375178e-26
region_chr5_35048865_36433852	UKB_20002_1111_self_reported_asthma	1	2.06459905724274e-09
region_chr5_81185652_82729829	BCAC_ER_negative_BreastCancer_EUR	4	2.09756126327243e-08
region_chr6_25684359_26791023	pgc.scz2	130	5.56077586365031e-21
region_chr6_26791023_28050041	UKB_20002_1453_self_reported_psoriasis	11	1.8209124789104e-11
region_chr6_31603441_32714887	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1093	2.21058402919898e-117
region_chr6_74752287_76705164	UKB_50_Standing_height	75	3.10425105672043e-34
region_chr7_133121089_134622844	UKB_20002_1065_self_reported_hypertension	23	3.27707470811515e-09
region_chr7_150143569_151014417	UKB_50_Standing_height	66	1.96235422280557e-25
region_chr7_22468010_23431823	UKB_20022_Birth_weight	1	3.91564584075674e-08
region_chr7_85942866_88195689	UKB_20127_Neuroticism_score	2	8.49991830898364e-09
region_chr8_10605687_11421489	UKB_20127_Neuroticism_score	142	1.18732260219719e-19
region_chr8_125398675_127646866	Astle_et_al_2016_Reticulocyte_count	1	1.11999965779702e-08
region_chr8_143155464_145078481	MAGNETIC_LDL.C	8	8.108152996532e-09
region_chr8_24817205_25625938	UKB_50_Standing_height	72	1.24497456261319e-21
region_chr9_114257521_115159681	IBD.EUR.Inflammatory_Bowel_Disease	14	1.85269858413867e-16
region_chr10_58530227_60131651	UKB_20002_1466_self_reported_gout	2	7.80971953239938e-13
region_chr10_61581937_64034354	SSGAC_Education_Years_Pooled	13	2.5571442556697e-09
region_chr10_76947056_79116992	Astle_et_al_2016_Red_blood_cell_count	1	5.89000483654162e-10
region_chr11_114959946_116512631	UKB_21001_Body_mass_index_BMI	1	2.45910778526961e-08
region_chr11_12542682_13351577	UKB_20002_1065_self_reported_hypertension	8	6.52407358405928e-08
region_chr11_130472680_131204717	UKB_21001_Body_mass_index_BMI	9	1.06384053244966e-11
region_chr11_55315181_58690022	UKB_1180_Morning_or_evening_person_chronotype	6	1.21384523671433e-09
region_chr11_68238358_69701362	UKB_20002_1309_self_reported_osteoporosis	22	1.9839076177461e-12
region_chr12_121569746_124493434	Astle_et_al_2016_Lymphocyte_counts	287	8.6849913634719e-13
region_chr12_55272053_57155077	UKB_20002_1265_self_reported_migraine	33	7.80413680877526e-23
region_chr14_72422907_75978424	Astle_et_al_2016_Platelet_count	3	4.79299503294139e-09
region_chr15_62923023_64812469	Astle_et_al_2016_Monocyte_count	155	6.63100142539097e-24
region_chr16_1157206_2714828	GIANT_HEIGHT	227	9.95269305968392e-19
region_chr17_15115780_16509028	Astle_et_al_2016_White_blood_cell_count	151	7.13307257843525e-11
region_chr17_38653091_40721152	UKB_20127_Neuroticism_score	3	2.34141723965911e-08
region_chr17_44979537_47798656	UKB_50_Standing_height	484	2.02787366592869e-31
region_chr17_71391676_74676064	Astle_et_al_2016_Monocyte_count	3	1.30399879988231e-19
region_chr18_42312683_45342141	Astle_et_al_2016_Platelet_count	1	4.04599652366971e-13
region_chr19_16263605_18299052	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	7.37214917682178e-09
region_chr19_16263605_18299052	UKB_50_Standing_height	42	1.40073661263462e-10
region_chr19_3019662_4348970	UKB_50_Standing_height	186	7.55732873683248e-30
region_chr19_43358303_44239955	Astle_et_al_2016_Myeloid_white_cell_count	40	2.42303363782486e-63
region_chr1_107867043_109761309	Astle_et_al_2016_Neutrophil_count	13	2.16287862597515e-13
region_chr1_154797927_156366342	Astle_et_al_2016_Monocyte_count	2	4.22743609974433e-08
region_chr1_170588635_173128768	UKB_21001_Body_mass_index_BMI	3	3.82320105943137e-08
region_chr1_203365606_204711940	GIANT_HEIGHT	9	9.66491696524750e-11
region_chr1_29689034_31973084	Astle_et_al_2016_White_blood_cell_count	4	1.21986237563464e-08
region_chr1_64576021_66473721	UKB_21001_Body_mass_index_BMI	1	9.54085154811258e-09
region_chr1_7187275_9305140	Astle_et_al_2016_Lymphocyte_counts	8	1.29400154874452e-11
region_chr1_93070902_94040635	UKB_50_Standing_height	1	4.76878027238192e-08
region_chr20_24737088_25363595	Astle_et_al_2016_Red_blood_cell_count	12	9.81709161702489e-12
region_chr20_63558827_64333810	UKB_20002_1065_self_reported_hypertension	84	5.06710108734933e-13
region_chr21_37339402_39110976	Astle_et_al_2016_Eosinophil_counts	15	6.09799617797543e-08
region_chr22_19924835_22002927	Astle_et_al_2016_Reticulocyte_count	78	2.78800345721133e-12
region_chr22_27438791_29255810	BCAC_Overall_BreastCancer_EUR	6	2.35180894653783e-10
region_chr2_102072305_102971757	IBD.EUR.Inflammatory_Bowel_Disease	42	3.50277837420678e-10
region_chr2_109814855_113164279	Astle_et_al_2016_Sum_eosinophil_basophil_counts	12	9.9045658411509e-26
region_chr2_109814855_113164279	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	14	4.48410852064432e-10
region_chr2_134401007_136285224	Astle_et_al_2016_Monocyte_count	13	3.44501312025445e-29
region_chr2_180448012_181401304	Astle_et_al_2016_Red_blood_cell_count	15	3.12684569450215e-09
region_chr2_228506071_230978674	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	4.60701352972572e-08
region_chr2_236540389_237852338	Astle_et_al_2016_Granulocyte_count	6	3.5050001092318e-13
region_chr2_24464049_26672117	Astle_et_al_2016_Reticulocyte_count	10	1.34086074877611e-10
region_chr2_31327584_33138710	UKB_20016_Fluid_intelligence_score	1	6.86483241155292e-08
region_chr2_31327584_33138710	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	3	5.10341970259488e-26
region_chr2_60064865_62201909	Astle_et_al_2016_Myeloid_white_cell_count	1	6.35281717704038e-09
region_chr3_190508818_192626025	GIANT_HEIGHT	23	2.45362468581298e-10
