region	phenotype	count	best_rcp
region_chr11_64037097_66131160	UKB_20022_Birth_weight	7	0.882
region_chr11_64037097_66131160	UKB_21001_Body_mass_index_BMI	25	0.875
region_chr11_66131160_68238358	GIANT_HEIGHT	1	0.573
region_chr11_66131160_68238358	UKB_1200_Sleeplessness_or_insomnia	2	0.668
region_chr11_66131160_68238358	UKB_23099_Body_fat_percentage	3	0.675
region_chr11_68238358_69701362	UKB_20002_1111_self_reported_asthma	1	0.592
region_chr11_70855_1192365	Astle_et_al_2016_Eosinophil_counts	9	0.965
region_chr11_70855_1192365	Astle_et_al_2016_Monocyte_count	22	0.997
region_chr11_70855_1192365	Astle_et_al_2016_Reticulocyte_count	35	0.862
region_chr11_70855_1192365	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	12	0.998
region_chr11_7415470_8311727	GIANT_HEIGHT	1	0.785
region_chr11_8311727_9065770	UKB_23099_Body_fat_percentage	1	0.618
region_chr11_9065770_10930480	UKB_20002_1111_self_reported_asthma	2	0.717
region_chr12_101468912_102571208	GIANT_HEIGHT	1	0.72
region_chr12_102571208_104454918	GIANT_HEIGHT	7	0.998
region_chr12_10328935_11601912	Astle_et_al_2016_Monocyte_count	33	0.882
region_chr12_108632125_109898914	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.501
region_chr12_108632125_109898914	Astle_et_al_2016_Red_blood_cell_count	10	0.742
region_chr12_116649666_117697570	UKB_23099_Body_fat_percentage	2	0.753
region_chr12_119316305_121569746	Astle_et_al_2016_Granulocyte_count	31	0.992
region_chr12_119316305_121569746	Astle_et_al_2016_High_light_scatter_reticulocyte_count	4	0.708
region_chr12_119316305_121569746	Astle_et_al_2016_Myeloid_white_cell_count	31	0.99
region_chr12_119316305_121569746	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	30	0.991
region_chr12_119316305_121569746	UKB_1180_Morning_or_evening_person_chronotype	1	0.642
region_chr12_119316305_121569746	UKB_20002_1473_self_reported_high_cholesterol	3	0.951
region_chr12_121569746_124493434	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.569
region_chr12_121569746_124493434	Astle_et_al_2016_Lymphocyte_counts	6	0.914
region_chr12_121569746_124493434	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.504
region_chr12_121569746_124493434	UKB_21001_Body_mass_index_BMI	1	0.653
region_chr12_132236187_133264925	GIANT_HEIGHT	1	0.556
region_chr12_25218149_27646840	Astle_et_al_2016_Granulocyte_count	12	0.976
region_chr12_25218149_27646840	Astle_et_al_2016_Myeloid_white_cell_count	12	0.973
region_chr12_25218149_27646840	Astle_et_al_2016_Neutrophil_count	12	0.957
region_chr12_25218149_27646840	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	12	0.981
region_chr12_3567871_4308513	GIANT_HEIGHT	1	0.712
region_chr12_44631_971165	Astle_et_al_2016_Monocyte_count	1	0.864
region_chr12_44631_971165	Astle_et_al_2016_Platelet_count	1	0.838
region_chr12_45630446_47321010	UKB_20022_Birth_weight	2	0.96
region_chr12_48608083_51382710	Astle_et_al_2016_Lymphocyte_counts	1	0.513
region_chr12_48608083_51382710	Astle_et_al_2016_Platelet_count	3	0.638
region_chr12_51382710_52645220	Astle_et_al_2016_Sum_basophil_neutrophil_counts	6	0.953
region_chr12_51382710_52645220	UKB_50_Standing_height	3	0.834
region_chr12_52645220_54385039	Astle_et_al_2016_Monocyte_count	11	0.999
region_chr12_52645220_54385039	Astle_et_al_2016_Red_blood_cell_count	10	0.687
region_chr12_52645220_54385039	Astle_et_al_2016_Reticulocyte_count	17	0.731
region_chr12_52645220_54385039	UKB_23099_Body_fat_percentage	7	0.649
region_chr12_54385039_55272053	Astle_et_al_2016_Platelet_count	1	0.532
region_chr12_55272053_57155077	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.984
region_chr12_55272053_57155077	UKB_20002_1111_self_reported_asthma	2	0.978
region_chr12_55272053_57155077	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	0.636
region_chr12_6310587_8224940	Astle_et_al_2016_Platelet_count	60	0.957
region_chr12_6310587_8224940	Astle_et_al_2016_Sum_eosinophil_basophil_counts	37	0.965
region_chr12_6310587_8224940	UKB_20002_1111_self_reported_asthma	47	0.979
region_chr12_65165915_66787364	GIANT_HEIGHT	1	0.584
region_chr12_67515949_69432762	Astle_et_al_2016_Granulocyte_count	36	0.997
region_chr12_67515949_69432762	Astle_et_al_2016_Monocyte_count	3	0.974
region_chr12_67515949_69432762	Astle_et_al_2016_Neutrophil_count	31	0.998
region_chr12_67515949_69432762	Astle_et_al_2016_Sum_basophil_neutrophil_counts	31	0.998
region_chr12_8878799_10328935	Astle_et_al_2016_Lymphocyte_counts	2	0.577
region_chr12_8878799_10328935	Astle_et_al_2016_Reticulocyte_count	1	0.56
region_chr12_89288345_91672378	UKB_23099_Body_fat_percentage	3	0.721
region_chr12_91672378_94120791	Astle_et_al_2016_Platelet_count	12	0.72
region_chr12_94120791_95627009	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	0.877
region_chr13_108468862_109162764	Astle_et_al_2016_Eosinophil_counts	1	0.865
region_chr13_109162764_110579726	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	3	0.655
region_chr13_112918174_114344378	Astle_et_al_2016_Platelet_count	31	0.975
region_chr13_112918174_114344378	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.659
region_chr13_112918174_114344378	UKB_20002_1473_self_reported_high_cholesterol	1	0.832
region_chr13_112918174_114344378	UKB_50_Standing_height	23	0.613
region_chr13_20112581_21668035	GIANT_HEIGHT	1	0.632
region_chr13_23957798_25210224	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	0.753
region_chr13_26710225_28683414	Astle_et_al_2016_Myeloid_white_cell_count	1	0.997
region_chr13_26710225_28683414	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	0.991
region_chr13_28683414_29909130	GIANT_HEIGHT	1	0.751
region_chr13_28683414_29909130	UKB_50_Standing_height	1	0.763
region_chr13_44327273_45921079	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	0.726
region_chr13_48809826_51016955	Astle_et_al_2016_Neutrophil_count	4	0.926
region_chr13_48809826_51016955	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	0.924
region_chr13_70952659_73359952	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.583
region_chr13_92934202_95435304	pgc.scz2	1	0.728
region_chr13_98286665_99921841	Astle_et_al_2016_Sum_eosinophil_basophil_counts	12	0.901
region_chr13_98286665_99921841	SSGAC_Education_Years_Pooled	1	0.89
region_chr14_101067970_102545765	Astle_et_al_2016_High_light_scatter_reticulocyte_count	5	0.661
region_chr14_102545765_104535386	UKB_20002_1065_self_reported_hypertension	2	0.786
region_chr14_18225607_21121243	Astle_et_al_2016_Eosinophil_counts	5	0.921
region_chr14_18225607_21121243	UKB_20022_Birth_weight	3	0.871
region_chr14_22549721_24435917	Astle_et_al_2016_Lymphocyte_counts	3	0.743
region_chr14_22549721_24435917	Astle_et_al_2016_Monocyte_count	3	0.694
region_chr14_22549721_24435917	Astle_et_al_2016_Reticulocyte_count	38	0.971
region_chr14_34377045_35390387	Astle_et_al_2016_Myeloid_white_cell_count	8	0.864
region_chr14_34377045_35390387	Astle_et_al_2016_Neutrophil_count	9	0.925
region_chr14_63323296_64753580	Astle_et_al_2016_Red_blood_cell_count	1	0.984
region_chr14_63323296_64753580	UKB_23099_Body_fat_percentage	4	0.545
region_chr14_64753580_65932837	Astle_et_al_2016_Platelet_count	2	0.794
region_chr14_67525600_70665240	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.928
region_chr14_67525600_70665240	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.927
region_chr14_67525600_70665240	UKB_23099_Body_fat_percentage	1	0.559
region_chr14_72422907_75978424	Astle_et_al_2016_Red_blood_cell_count	4	0.625
region_chr14_89031299_90830516	UKB_21001_Body_mass_index_BMI	1	0.612
region_chr14_90830516_92665954	Astle_et_al_2016_Monocyte_count	1	0.604
region_chr15_101012489_101980763	Astle_et_al_2016_Myeloid_white_cell_count	1	0.935
region_chr15_101012489_101980763	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.952
region_chr15_101012489_101980763	UKB_20002_1065_self_reported_hypertension	1	0.596
region_chr15_38238576_40091931	Astle_et_al_2016_High_light_scatter_reticulocyte_count	19	0.957
region_chr15_40885316_42484201	Astle_et_al_2016_Neutrophil_count	5	0.953
region_chr15_40885316_42484201	UKB_6152_8_diagnosed_by_doctor_Asthma	3	0.597
region_chr15_49715846_51385363	UKB_20002_1065_self_reported_hypertension	3	0.58
region_chr15_51385363_52776899	UKB_20022_Birth_weight	1	0.811
region_chr15_56609575_58149167	UKB_20002_1473_self_reported_high_cholesterol	1	0.842
region_chr15_62923023_64812469	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.919
region_chr15_62923023_64812469	Astle_et_al_2016_Myeloid_white_cell_count	10	0.862
region_chr15_62923023_64812469	UKB_50_Standing_height	5	0.684
region_chr15_64812469_66802429	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.51
region_chr15_66802429_68725660	IBD.EUR.Crohns_Disease	2	0.918
region_chr15_73336373_76106283	Astle_et_al_2016_Monocyte_count	5	0.973
region_chr15_73336373_76106283	Astle_et_al_2016_Neutrophil_count	4	0.742
region_chr15_73336373_76106283	Astle_et_al_2016_Sum_basophil_neutrophil_counts	4	0.776
region_chr15_73336373_76106283	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	6	0.825
region_chr15_73336373_76106283	UKB_20002_1065_self_reported_hypertension	19	0.789
region_chr15_76106283_78223711	UKB_50_Standing_height	1	0.529
region_chr15_78223711_80568637	UKB_23099_Body_fat_percentage	1	0.56
region_chr15_89932319_91621162	Astle_et_al_2016_Granulocyte_count	4	0.67
region_chr15_89932319_91621162	Astle_et_al_2016_Platelet_count	51	0.842
region_chr15_89932319_91621162	Astle_et_al_2016_Sum_basophil_neutrophil_counts	5	0.725
region_chr15_89932319_91621162	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	6	0.725
region_chr15_89932319_91621162	Astle_et_al_2016_White_blood_cell_count	32	0.793
region_chr15_89932319_91621162	CARDIoGRAM_C4D_CAD_ADDITIVE	27	0.926
region_chr15_89932319_91621162	UKB_1807_Fathers_age_at_death	4	0.726
region_chr15_89932319_91621162	UKB_20002_1065_self_reported_hypertension	22	0.893
region_chr16_10054_1157206	GIANT_HEIGHT	50	0.953
region_chr16_10054_1157206	UKB_23099_Body_fat_percentage	1	0.781
region_chr16_1157206_2714828	Astle_et_al_2016_Myeloid_white_cell_count	5	0.786
region_chr16_14370145_16060203	EGG_BW3_EUR	2	0.621
region_chr16_14370145_16060203	UKB_50_Standing_height	1	0.511
region_chr16_24125554_25975541	GIANT_HEIGHT	4	0.8
region_chr16_25975541_27434434	Astle_et_al_2016_Eosinophil_counts	4	0.862
region_chr16_25975541_27434434	Astle_et_al_2016_Sum_eosinophil_basophil_counts	4	0.858
region_chr16_25975541_27434434	UKB_20002_1111_self_reported_asthma	1	0.619
region_chr16_2714828_3951195	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.624
region_chr16_27434434_29025292	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.588
region_chr16_27434434_29025292	Astle_et_al_2016_White_blood_cell_count	2	0.634
region_chr16_29025292_31371622	Astle_et_al_2016_Monocyte_count	6	0.728
region_chr16_29025292_31371622	Astle_et_al_2016_Reticulocyte_count	57	0.841
region_chr16_29025292_31371622	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	6	0.939
region_chr16_29025292_31371622	Astle_et_al_2016_White_blood_cell_count	7	0.823
region_chr16_29025292_31371622	GIANT_HEIGHT	3	0.61
region_chr16_29025292_31371622	UKB_20002_1473_self_reported_high_cholesterol	3	0.822
region_chr16_29025292_31371622	pgc.scz2	5	0.626
region_chr16_48974015_52001911	IBD.EUR.Crohns_Disease	1	0.54
region_chr16_53348660_55869862	UKB_20016_Fluid_intelligence_score	4	0.652
region_chr16_55869862_57630418	Astle_et_al_2016_White_blood_cell_count	1	1
region_chr16_65904663_68807460	pgc.scz2	2	0.576
region_chr16_68807460_71020125	Astle_et_al_2016_Eosinophil_counts	1	0.6
region_chr16_68807460_71020125	Astle_et_al_2016_Lymphocyte_counts	5	0.675
region_chr16_71020125_72901251	Astle_et_al_2016_Reticulocyte_count	16	0.686
region_chr16_71020125_72901251	GIANT_HEIGHT	2	0.839
region_chr16_74937605_75944056	UKB_50_Standing_height	3	0.607
region_chr16_79100918_80263477	Astle_et_al_2016_Eosinophil_counts	1	0.701
region_chr16_79100918_80263477	Astle_et_al_2016_Platelet_count	1	0.52
region_chr16_8288517_9705562	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	0.512
region_chr16_8288517_9705562	UKB_50_Standing_height	1	0.564
region_chr16_84412277_85115079	Astle_et_al_2016_Myeloid_white_cell_count	1	0.963
region_chr16_84412277_85115079	Astle_et_al_2016_Reticulocyte_count	1	0.53
region_chr16_84412277_85115079	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.962
region_chr16_84412277_85115079	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.956
region_chr16_85115079_86122993	Astle_et_al_2016_Neutrophil_count	5	0.888
region_chr16_85115079_86122993	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.683
region_chr16_85115079_86122993	RA_OKADA_TRANS_ETHNIC	1	0.965
region_chr16_86781805_87613743	UKB_20022_Birth_weight	1	0.574
region_chr16_87613743_88974757	Astle_et_al_2016_White_blood_cell_count	6	0.823
region_chr16_87613743_88974757	UKB_6152_8_diagnosed_by_doctor_Asthma	9	0.827
region_chr16_88974757_90226404	Astle_et_al_2016_Reticulocyte_count	11	0.999
region_chr16_88974757_90226404	GIANT_HEIGHT	7	0.852
region_chr16_88974757_90226404	UKB_23099_Body_fat_percentage	4	0.595
region_chr17_1269105_2025437	Astle_et_al_2016_Myeloid_white_cell_count	9	0.863
region_chr17_15115780_16509028	Astle_et_al_2016_Granulocyte_count	3	0.793
region_chr17_15115780_16509028	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	0.793
region_chr17_15115780_16509028	Astle_et_al_2016_White_blood_cell_count	2	0.697
region_chr17_16509028_18953007	Astle_et_al_2016_Lymphocyte_counts	1	0.734
region_chr17_16509028_18953007	UKB_1180_Morning_or_evening_person_chronotype	2	0.81
region_chr17_2025437_3799018	UKB_23099_Body_fat_percentage	2	0.853
region_chr17_21387045_29007226	EGG_BW3_EUR	3	0.765
region_chr17_29007226_31459473	Astle_et_al_2016_White_blood_cell_count	6	0.731
region_chr17_36141651_38653091	UKB_20016_Fluid_intelligence_score	13	0.633
region_chr17_36141651_38653091	UKB_21001_Body_mass_index_BMI	5	0.562
region_chr17_36141651_38653091	UKB_50_Standing_height	1	0.503
region_chr17_38653091_40721152	Astle_et_al_2016_Lymphocyte_counts	1	0.614
region_chr17_38653091_40721152	Astle_et_al_2016_Red_blood_cell_count	2	0.57
region_chr17_41743558_43694719	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	8	0.9
region_chr17_43694719_44979537	Astle_et_al_2016_Lymphocyte_counts	2	0.693
region_chr17_43694719_44979537	UKB_23099_Body_fat_percentage	2	0.703
region_chr17_44979537_47798656	UKB_6152_8_diagnosed_by_doctor_Asthma	1	0.874
region_chr17_47798656_49440038	Astle_et_al_2016_Platelet_count	2	0.764
region_chr17_47798656_49440038	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.754
region_chr17_47798656_49440038	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	0.75
region_chr17_47798656_49440038	Astle_et_al_2016_White_blood_cell_count	7	0.874
region_chr17_47798656_49440038	UKB_20002_1111_self_reported_asthma	5	0.677
region_chr17_47798656_49440038	UKB_50_Standing_height	2	0.582
region_chr17_47798656_49440038	UKB_6152_8_diagnosed_by_doctor_Asthma	6	0.691
region_chr17_4792966_5838014	Astle_et_al_2016_Eosinophil_counts	1	0.652
region_chr17_4792966_5838014	Astle_et_al_2016_Granulocyte_count	8	0.602
region_chr17_4792966_5838014	Astle_et_al_2016_Lymphocyte_counts	2	0.926
region_chr17_4792966_5838014	Astle_et_al_2016_Sum_basophil_neutrophil_counts	8	0.604
region_chr17_4792966_5838014	UKB_23099_Body_fat_percentage	2	0.864
region_chr17_55522071_57280180	Astle_et_al_2016_White_blood_cell_count	7	0.834
region_chr17_5838014_7414079	Astle_et_al_2016_Neutrophil_count	16	0.984
region_chr17_5838014_7414079	Astle_et_al_2016_Reticulocyte_count	6	0.985
region_chr17_5838014_7414079	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	2	0.78
region_chr17_5838014_7414079	UKB_20002_1473_self_reported_high_cholesterol	2	0.672
region_chr17_63468228_65152010	UKB_20002_1065_self_reported_hypertension	20	0.812
region_chr17_7414079_8403107	Astle_et_al_2016_Myeloid_white_cell_count	12	0.962
region_chr17_7414079_8403107	Astle_et_al_2016_Sum_basophil_neutrophil_counts	13	0.988
region_chr17_7414079_8403107	Astle_et_al_2016_Sum_eosinophil_basophil_counts	6	1
region_chr17_74676064_76379479	Astle_et_al_2016_Granulocyte_count	5	0.923
region_chr17_76379479_78267332	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.872
region_chr17_76379479_78267332	Astle_et_al_2016_Myeloid_white_cell_count	7	0.756
region_chr17_76379479_78267332	Astle_et_al_2016_Platelet_count	5	0.944
region_chr17_78267332_79302554	Astle_et_al_2016_White_blood_cell_count	1	0.516
region_chr17_79302554_80863788	Astle_et_al_2016_Platelet_count	4	0.957
region_chr17_80863788_82076532	Astle_et_al_2016_Red_blood_cell_count	3	0.719
region_chr17_80863788_82076532	UKB_20002_1065_self_reported_hypertension	5	0.877
region_chr17_80863788_82076532	UKB_50_Standing_height	3	0.949
region_chr17_82076532_83247139	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.675
region_chr17_82076532_83247139	Astle_et_al_2016_Red_blood_cell_count	13	0.874
region_chr17_82076532_83247139	Astle_et_al_2016_Reticulocyte_count	2	0.724
region_chr18_23069508_25416687	Astle_et_al_2016_Myeloid_white_cell_count	33	0.856
region_chr18_3891658_5834181	UKB_20022_Birth_weight	1	0.583
region_chr18_45342141_46719283	Astle_et_al_2016_Reticulocyte_count	2	0.606
region_chr18_45342141_46719283	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	0.719
region_chr18_48413361_50204214	GIANT_HEIGHT	3	0.668
region_chr18_50204214_53535815	Astle_et_al_2016_Myeloid_white_cell_count	1	0.902
region_chr18_50204214_53535815	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.904
region_chr18_54027805_57546606	UKB_20002_1065_self_reported_hypertension	12	0.793
region_chr18_54027805_57546606	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	12	0.587
region_chr18_57546606_58862988	Astle_et_al_2016_Eosinophil_counts	5	0.888
region_chr18_61353518_62610482	UKB_1180_Morning_or_evening_person_chronotype	1	0.563
region_chr18_68458580_69508584	RA_OKADA_TRANS_ETHNIC	3	0.731
region_chr18_68458580_69508584	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	3	0.731
region_chr18_8498933_11075914	Astle_et_al_2016_Platelet_count	45	0.847
region_chr19_11173352_13360313	Astle_et_al_2016_Monocyte_count	2	0.707
region_chr19_11173352_13360313	Astle_et_al_2016_Red_blood_cell_count	17	0.966
region_chr19_11173352_13360313	Astle_et_al_2016_White_blood_cell_count	1	0.605
region_chr19_11173352_13360313	SSGAC_Education_Years_Pooled	3	0.638
region_chr19_13360313_14375535	Astle_et_al_2016_White_blood_cell_count	3	0.745
region_chr19_15537799_16263605	Astle_et_al_2016_Lymphocyte_counts	1	0.575
region_chr19_15537799_16263605	Astle_et_al_2016_Platelet_count	1	0.968
region_chr19_16263605_18299052	Astle_et_al_2016_Platelet_count	4	0.643
region_chr19_18299052_19766662	Astle_et_al_2016_Granulocyte_count	15	0.965
