region	phenotype	count	method
region_chr8_143155464_145078481	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr8_29470379_31276213	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	gwas
region_chr9_136047132_136605890	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr15_60973637_62923023	UKB_50_Standing_height	1	gwas
region_chr4_145257035_147600722	GIANT_HEIGHT	1	gwas
region_chr7_73920272_76829247	UKB_20002_1065_self_reported_hypertension	1	gwas
region_chr9_136047132_136605890	UKB_50_Standing_height	1	gwas
region_chr15_40885316_42484201	UKB_23099_Body_fat_percentage	1	gwas
region_chr17_44979537_47798656	Astle_et_al_2016_Myeloid_white_cell_count	1	gwas
region_chr19_44239955_45599439	UKB_1807_Fathers_age_at_death	1	gwas
region_chr1_182786221_184626379	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr3_171247120_172577941	GIANT_HEIGHT	1	gwas
region_chr3_187172556_189138425	UKB_20002_1111_self_reported_asthma	1	gwas
region_chr4_700926_1476986	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr6_28949831_29770194	UKB_50_Standing_height	1	gwas
region_chr18_42312683_45342141	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr1_151566405_153208353	UKB_20002_1452_self_reported_eczema_or_dermatitis	1	gwas
region_chr2_10133_1777250	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr4_104384137_106580148	Astle_et_al_2016_Myeloid_white_cell_count	1	gwas
region_chr5_71944629_74463501	Astle_et_al_2016_Neutrophil_count	1	gwas
region_chr6_13209156_14802693	BCAC_ER_negative_BreastCancer_EUR	1	gwas
region_chr6_132444530_133923105	UKB_50_Standing_height	1	gwas
region_chr7_16862445_19441924	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	1	gwas
region_chr7_38927103_39823071	UKB_23099_Body_fat_percentage	1	gwas
region_chr10_124109830_126312529	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr12_98912209_101053863	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr14_64753580_65932837	GIANT_HEIGHT	1	gwas
region_chr19_9127717_11173352	UKB_1160_Sleep_duration	1	gwas
region_chr22_44599428_46074615	Astle_et_al_2016_Red_blood_cell_count	1	gwas
region_chr2_223994702_224975287	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr3_10977979_13029299	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr8_9783277_10605687	UKB_50_Standing_height	1	gwas
region_chr10_113568673_114661647	UKB_50_Standing_height	1	gwas
region_chr12_89288345_91672378	CARDIoGRAM_C4D_CAD_ADDITIVE	1	gwas
region_chr2_26672117_28375910	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr3_51797999_54047363	GIANT_HEIGHT	1	gwas
region_chr6_21683834_22748078	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr6_86359782_88112422	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr7_84171887_85942866	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr8_7295557_9297184	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr1_170588635_173128768	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1	gwas
region_chr1_206268085_208237019	IBD.EUR.Ulcerative_Colitis	1	gwas
region_chr7_44724229_45913323	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr7_49172682_51607626	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr11_101460390_104088908	UKB_20022_Birth_weight	1	gwas
region_chr21_33853161_35152076	UKB_6152_8_diagnosed_by_doctor_Asthma	1	gwas
region_chr7_2022763_2732593	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr7_99117851_100599028	Astle_et_al_2016_Platelet_count	1	gwas
region_chr9_9166403_10879253	UKB_20002_1461_self_reported_inflammatory_bowel_disease	1	gwas
region_chr17_7414079_8403107	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr9_126297386_127293231	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr13_70952659_73359952	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr5_109298233_111485446	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr5_132803957_135441711	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr10_79116992_80654923	GIANT_HEIGHT	1	gwas
region_chr11_42288453_44672249	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	1	gwas
region_chr11_92343978_93542991	EGG_BW3_EUR	1	gwas
region_chr3_10977979_13029299	Astle_et_al_2016_Platelet_count	1	gwas
region_chr3_128476018_130525891	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr3_151630942_153538782	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr8_9297184_9783277	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr8_9297184_9783277	UKB_20127_Neuroticism_score	1	gwas
region_chr9_20463536_22206560	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	gwas
region_chr12_121569746_124493434	UKB_23099_Body_fat_percentage	1	gwas
region_chr1_1961168_3666172	UKB_50_Standing_height	1	gwas
region_chr1_241908300_243946197	UKB_50_Standing_height	1	gwas
region_chr1_41509656_43292786	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr4_53011266_54563389	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr5_149283061_151181737	UKB_20002_1453_self_reported_psoriasis	1	gwas
region_chr7_91032469_92864438	Astle_et_al_2016_Myeloid_white_cell_count	1	gwas
region_chr8_29470379_31276213	Astle_et_al_2016_Platelet_count	1	gwas
region_chr12_55272053_57155077	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr15_78223711_80568637	CARDIoGRAM_C4D_CAD_ADDITIVE	1	gwas
region_chr17_43694719_44979537	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr19_32255614_33772047	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	gwas
region_chr2_24464049_26672117	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr3_58171792_60287177	Astle_et_al_2016_Platelet_count	1	gwas
region_chr4_138635357_140163477	UKB_23099_Body_fat_percentage	1	gwas
region_chr6_35487979_37604820	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	gwas
region_chr10_22886203_25289667	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr11_107973474_108566310	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr11_121305234_122721202	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr13_98286665_99921841	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr14_35390387_38198520	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	gwas
region_chr1_43292786_44503511	SSGAC_Education_Years_Pooled	1	gwas
region_chr2_65706310_66999034	UKB_1200_Sleeplessness_or_insomnia	1	gwas
region_chr4_37253425_38905401	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr5_149283061_151181737	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr6_29770194_30830391	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr11_26998914_28460046	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr17_47798656_49440038	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr1_84378812_85989068	UKB_50_Standing_height	1	gwas
region_chr20_40982216_41957049	UKB_23099_Body_fat_percentage	1	gwas
region_chr3_137652241_140235755	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1	gwas
region_chr4_154134974_156563945	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	1	gwas
region_chr4_99757203_102300199	UKB_1160_Sleep_duration	1	gwas
region_chr6_26791023_28050041	GIANT_HEIGHT	1	gwas
region_chr6_33268720_35487979	UKB_20002_1111_self_reported_asthma	1	gwas
region_chr6_43788432_45438826	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr6_47344162_48423389	GIANT_HEIGHT	1	gwas
region_chr8_45929693_49169911	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr9_126297386_127293231	UKB_50_Standing_height	1	gwas
region_chr10_22886203_25289667	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr17_36141651_38653091	Astle_et_al_2016_Myeloid_white_cell_count	1	gwas
region_chr21_37339402_39110976	IBD.EUR.Inflammatory_Bowel_Disease	1	gwas
region_chr3_156290911_157594239	UKB_20022_Birth_weight	1	gwas
region_chr6_25684359_26791023	UKB_50_Standing_height	1	gwas
region_chr6_31603441_32714887	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr10_25289667_26599755	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr10_91575290_93636611	UKB_50_Standing_height	1	gwas
region_chr11_1192365_3644251	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr12_3567871_4308513	UKB_20022_Birth_weight	1	gwas
region_chr19_16263605_18299052	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr6_47344162_48423389	IGAP_Alzheimer	1	gwas
region_chr7_118711527_121405219	GIANT_HEIGHT	1	gwas
region_chr10_33419040_34820427	UKB_21001_Body_mass_index_BMI	2	gwas
region_chr17_76379479_78267332	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr18_11905441_14440800	RA_OKADA_TRANS_ETHNIC	1	gwas
region_chr19_16263605_18299052	UKB_20002_1065_self_reported_hypertension	1	gwas
region_chr1_175120632_177464245	UKB_50_Standing_height	1	gwas
region_chr1_89600744_91420760	SSGAC_Education_Years_Pooled	1	gwas
region_chr22_35134992_37174229	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr2_67783044_68912432	UKB_50_Standing_height	1	gwas
region_chr3_122255250_123798921	MAGIC_FastingGlucose	1	gwas
region_chr7_28320690_31097675	Astle_et_al_2016_Neutrophil_count	1	gwas
region_chr12_109898914_112825713	CARDIoGRAM_C4D_CAD_ADDITIVE	1	gwas
region_chr1_222056878_224750818	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	1	gwas
region_chr4_1476986_2841252	GIANT_HEIGHT	1	gwas
region_chr5_132803957_135441711	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr5_132803957_135441711	GIANT_HEIGHT	1	gwas
region_chr9_106536473_107932781	BCAC_ER_negative_BreastCancer_EUR	1	gwas
region_chr12_106564970_108632125	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr17_38653091_40721152	UKB_20002_1111_self_reported_asthma	1	gwas
region_chr19_30237047_32255614	GIANT_HEIGHT	1	gwas
region_chr1_14565015_16571235	UKB_1180_Morning_or_evening_person_chronotype	1	gwas
region_chr3_151630942_153538782	UKB_50_Standing_height	1	gwas
region_chr5_147802435_149283061	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr6_129539886_130614309	EGG_BW3_EUR	1	gwas
region_chr8_7295557_9297184	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr9_98830577_101862155	GIANT_HEIGHT	1	gwas
region_chr1_3666172_4320751	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr7_44724229_45913323	Astle_et_al_2016_Platelet_count	1	gwas
region_chr11_55315181_58690022	UKB_1180_Morning_or_evening_person_chronotype	1	gwas
region_chr12_114598797_115065411	UKB_50_Standing_height	1	gwas
region_chr22_17193405_17813322	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr2_109814855_113164279	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr5_107928495_109298233	GIANT_HEIGHT	1	gwas
region_chr6_30830391_31603441	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	2	gwas
region_chr8_11421489_13634266	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	gwas
region_chr9_20463536_22206560	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr11_117876395_119344766	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr11_119344766_120896097	UKB_50_Standing_height	1	gwas
region_chr11_44672249_46984586	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	1	gwas
region_chr14_34377045_35390387	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	gwas
region_chr15_66802429_68725660	IBD.EUR.Crohns_Disease	1	gwas
region_chr1_203365606_204711940	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr6_133923105_135903039	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr6_28050041_28949831	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	gwas
region_chr9_20463536_22206560	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	1	gwas
region_chr10_44234627_46978910	Astle_et_al_2016_Myeloid_white_cell_count	1	gwas
region_chr16_55869862_57630418	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr1_173128768_175120632	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	gwas
region_chr2_43082452_44086664	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr3_196244537_197349116	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr6_11790583_13209156	CARDIoGRAM_C4D_CAD_ADDITIVE	1	gwas
region_chr9_132423455_134176000	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr11_10930480_12542682	UKB_50_Standing_height	1	gwas
region_chr11_8311727_9065770	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr20_2488855_3847766	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr5_159398690_160546937	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	gwas
region_chr6_133923105_135903039	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr8_115084266_118673218	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr12_40422383_41264784	IBD.EUR.Inflammatory_Bowel_Disease	1	gwas
region_chr1_170588635_173128768	UKB_50_Standing_height	1	gwas
region_chr1_197342384_199270756	Astle_et_al_2016_Platelet_count	1	gwas
region_chr2_180448012_181401304	UKB_23099_Body_fat_percentage	1	gwas
region_chr3_23763374_25420067	UKB_20016_Fluid_intelligence_score	1	gwas
region_chr4_48121583_53011266	GIANT_HEIGHT	1	gwas
region_chr9_4495328_4884926	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr10_110801735_113568673	BCAC_Overall_BreastCancer_EUR	1	gwas
region_chr6_170014949_170742182	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr6_19207256_21683834	IBD.EUR.Inflammatory_Bowel_Disease	1	gwas
region_chr8_29470379_31276213	BCAC_Overall_BreastCancer_EUR	1	gwas
region_chr9_1079707_1916877	SSGAC_Education_Years_Pooled	1	gwas
region_chr14_67525600_70665240	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr15_97487680_98700830	GIANT_HEIGHT	1	gwas
region_chr16_72901251_74937605	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr17_36141651_38653091	UKB_20002_1461_self_reported_inflammatory_bowel_disease	1	gwas
region_chr18_45342141_46719283	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr21_43086158_44757190	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr22_38911889_40149793	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr8_11421489_13634266	GIANT_HEIGHT	1	gwas
region_chr19_37036131_39679979	UKB_50_Standing_height	1	gwas
region_chr10_22886203_25289667	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr17_55522071_57280180	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr2_60064865_62201909	RA_OKADA_TRANS_ETHNIC	1	gwas
region_chr2_70528066_72947719	UKB_50_Standing_height	1	gwas
region_chr5_71944629_74463501	Astle_et_al_2016_Platelet_count	1	gwas
region_chr6_125103237_127219316	UKB_23099_Body_fat_percentage	1	gwas
region_chr6_35487979_37604820	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr16_65904663_68807460	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr20_50623121_53856010	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr22_38911889_40149793	RA_OKADA_TRANS_ETHNIC	1	gwas
region_chr5_66615458_68555033	UKB_23099_Body_fat_percentage	1	gwas
region_chr7_2732593_4533797	Astle_et_al_2016_Platelet_count	1	gwas
region_chr8_139713400_141963553	Astle_et_al_2016_Neutrophil_count	1	gwas
region_chr9_115159681_118559259	UKB_50_Standing_height	1	gwas
region_chr12_112825713_113548904	Astle_et_al_2016_Platelet_count	1	gwas
region_chr2_10158342_12279024	UKB_50_Standing_height	1	gwas
region_chr2_31327584_33138710	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	1	gwas
region_chr10_121471951_122141030	GIANT_HEIGHT	1	gwas
region_chr11_68238358_69701362	UKB_50_Standing_height	1	gwas
region_chr12_121569746_124493434	SSGAC_Education_Years_Pooled	1	gwas
region_chr16_27434434_29025292	UKB_23099_Body_fat_percentage	1	gwas
region_chr19_18299052_19766662	Astle_et_al_2016_Neutrophil_count	1	gwas
region_chr1_111199115_112730684	Astle_et_al_2016_Platelet_count	1	gwas
region_chr2_58070180_60064865	Jones_et_al_2016_SleepDuration	1	gwas
region_chr6_31603441_32714887	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	gwas
region_chr8_11421489_13634266	UKB_50_Standing_height	1	gwas
region_chr15_37164301_38238576	UKB_50_Standing_height	1	gwas
region_chr1_115337972_118296444	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr2_227255126_228506071	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	gwas
region_chr4_700926_1476986	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr9_136605890_138254346	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr11_101460390_104088908	CARDIoGRAM_C4D_CAD_ADDITIVE	1	gwas
region_chr11_84670229_86908259	IGAP_Alzheimer	1	gwas
region_chr15_43905851_46326589	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr1_25190354_27075376	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr1_71218722_73861224	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr3_17849626_19083652	Astle_et_al_2016_Platelet_count	1	gwas
region_chr3_181793378_184051895	UKB_1180_Morning_or_evening_person_chronotype	1	gwas
region_chr13_70150384_70952659	Astle_et_al_2016_Platelet_count	1	gwas
region_chr15_89932319_91621162	UKB_20002_1065_self_reported_hypertension	1	gwas
region_chr17_7414079_8403107	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr2_241210506_242147200	UKB_50_Standing_height	1	gwas
region_chr12_38833367_40422383	UKB_1180_Morning_or_evening_person_chronotype	1	gwas
region_chr15_89932319_91621162	pgc.scz2	1	gwas
region_chr19_44239955_45599439	UKB_3526_Mothers_age_at_death	1	gwas
region_chr22_35134992_37174229	Astle_et_al_2016_Eosinophil_counts	1	gwas
region_chr2_24464049_26672117	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr5_102243065_103984304	UKB_50_Standing_height	1	gwas
region_chr5_153488214_154393528	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr8_125398675_127646866	UKB_23099_Body_fat_percentage	1	gwas
region_chr18_48413361_50204214	Astle_et_al_2016_Red_blood_cell_count	1	gwas
region_chr4_6771316_7537965	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr7_22468010_23431823	UKB_50_Standing_height	1	gwas
region_chr15_87826712_89932319	UKB_23099_Body_fat_percentage	1	gwas
region_chr1_112730684_114331223	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	gwas
region_chr6_109983044_112023811	IBD.EUR.Inflammatory_Bowel_Disease	1	gwas
region_chr7_114072332_117140124	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr8_75544307_78220626	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr12_52645220_54385039	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr1_111199115_112730684	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr1_53760589_55947444	MAGNETIC_IDL.TG	1	gwas
region_chr2_67783044_68912432	Astle_et_al_2016_Platelet_count	1	gwas
region_chr4_106580148_107894192	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr8_115084266_118673218	Astle_et_al_2016_Reticulocyte_count	1	gwas
region_chr8_7295557_9297184	UKB_50_Standing_height	1	gwas
region_chr13_80011541_82007679	UKB_50_Standing_height	1	gwas
region_chr14_67525600_70665240	BCAC_Overall_BreastCancer_EUR	1	gwas
region_chr6_32714887_33268720	Astle_et_al_2016_Red_blood_cell_count	1	gwas
region_chr12_117697570_119316305	SSGAC_Depressive_Symptoms	1	gwas
region_chr12_55272053_57155077	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	gwas
region_chr15_60973637_62923023	pgc.scz2	1	gwas
region_chr17_36141651_38653091	Astle_et_al_2016_Neutrophil_count	1	gwas
region_chr1_241908300_243946197	SSGAC_Education_Years_Pooled	1	gwas
region_chr2_43082452_44086664	MAGNETIC_IDL.TG	1	gwas
region_chr7_44724229_45913323	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr8_6285276_7295557	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr10_12544798_13279600	UKB_50_Standing_height	1	gwas
region_chr10_26599755_29034307	UKB_50_Standing_height	1	gwas
region_chr11_70855_1192365	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	gwas
region_chr19_35978393_37036131	UKB_50_Standing_height	1	gwas
region_chr1_46433829_47536904	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr1_7187275_9305140	UKB_1180_Morning_or_evening_person_chronotype	1	gwas
region_chr21_35152076_36498481	UKB_50_Standing_height	1	gwas
region_chr3_140235755_141620255	UKB_50_Standing_height	1	gwas
region_chr10_114661647_117764423	UKB_23099_Body_fat_percentage	1	gwas
region_chr17_18953007_21387045	UKB_23099_Body_fat_percentage	1	gwas
region_chr19_40478694_41625199	GIANT_HEIGHT	1	gwas
region_chr1_226623159_229020501	Astle_et_al_2016_Neutrophil_count	1	gwas
region_chr1_235656136_237392328	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr3_140235755_141620255	Astle_et_al_2016_Granulocyte_count	1	gwas
region_chr3_85533081_87360582	UKB_50_Standing_height	1	gwas
region_chr5_38802308_40287627	UKB_50_Standing_height	1	gwas
region_chr7_55623891_57314931	GIANT_HEIGHT	1	gwas
region_chr17_31459473_33211407	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr19_5811841_6684874	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr6_24852047_25684359	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr17_5838014_7414079	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr20_48583442_50623121	UKB_23099_Body_fat_percentage	1	gwas
region_chr5_154393528_155946495	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr6_33268720_35487979	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	1	gwas
region_chr6_73924_1452127	RA_OKADA_TRANS_ETHNIC	1	gwas
region_chr7_16862445_19441924	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1	gwas
region_chr8_115084266_118673218	UKB_1180_Morning_or_evening_person_chronotype	1	gwas
region_chr10_61581937_64034354	Astle_et_al_2016_Myeloid_white_cell_count	1	gwas
region_chr14_93858939_95284530	Astle_et_al_2016_Platelet_count	1	gwas
region_chr16_65904663_68807460	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	gwas
region_chr2_197213386_198446401	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr9_132423455_134176000	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr10_98908643_101189482	IBD.EUR.Crohns_Disease	1	gwas
region_chr14_78095602_79720236	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr17_43694719_44979537	GIANT_HEIGHT	1	gwas
region_chr2_176498908_177688455	UKB_50_Standing_height	1	gwas
region_chr2_24464049_26672117	UKB_20002_1065_self_reported_hypertension	1	gwas
region_chr5_102243065_103984304	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	gwas
