phenotype	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	ENSG00000136371.10	MTHFS	1.51680560546328e-14	0.539
Astle_et_al_2016_Eosinophil_counts	ENSG00000124508.16	BTN2A2	1.92791895891068e-14	0.514
Astle_et_al_2016_Eosinophil_counts	ENSG00000276791.1	CTD-2270P14.5	3.44425948823099e-14	0.743
Astle_et_al_2016_Eosinophil_counts	ENSG00000103355.13	PRSS33	4.65115810291761e-14	0.85
Astle_et_al_2016_Eosinophil_counts	ENSG00000102886.14	GDPD3	5.03594636337669e-14	0.987
Astle_et_al_2016_Eosinophil_counts	ENSG00000142089.15	IFITM3	7.06052035332228e-14	0.702
Astle_et_al_2016_Eosinophil_counts	ENSG00000105889.14	STEAP1B	1.08660103785557e-13	0.561
Astle_et_al_2016_Eosinophil_counts	ENSG00000103363.14	ELOB	1.92888898510659e-13	0.644
Astle_et_al_2016_Eosinophil_counts	ENSG00000168685.14	IL7R	4.03588815328849e-13	0.701
Astle_et_al_2016_Eosinophil_counts	ENSG00000221869.4	CEBPD	6.26699296002858e-13	0.962
Astle_et_al_2016_Eosinophil_counts	ENSG00000198740.8	ZNF652	1.21602555025455e-12	0.564
Astle_et_al_2016_Eosinophil_counts	ENSG00000182541.17	LIMK2	2.62768553484855e-12	0.533
Astle_et_al_2016_Eosinophil_counts	ENSG00000255328.1	RP11-326C3.12	2.64646234063473e-12	0.558
Astle_et_al_2016_Eosinophil_counts	ENSG00000248714.6	RP11-1079K10.3	5.40706525434903e-12	0.54
Astle_et_al_2016_Eosinophil_counts	ENSG00000077238.13	IL4R	1.35711808494859e-11	0.862
Astle_et_al_2016_Eosinophil_counts	ENSG00000099817.11	POLR2E	2.14744048969381e-11	0.594
Astle_et_al_2016_Eosinophil_counts	ENSG00000100100.12	PIK3IP1	2.26274722026205e-11	0.63
Astle_et_al_2016_Eosinophil_counts	ENSG00000249859.9	PVT1	2.5066366201489e-11	0.91
Astle_et_al_2016_Eosinophil_counts	ENSG00000248489.1	LINC02062	3.16772804901214e-11	0.717
Astle_et_al_2016_Eosinophil_counts	ENSG00000091972.18	CD200	3.17196046510859e-11	0.596
Astle_et_al_2016_Eosinophil_counts	ENSG00000100362.12	PVALB	3.24582832983381e-11	0.995
Astle_et_al_2016_Eosinophil_counts	ENSG00000165030.3	NFIL3	3.91816545744584e-11	0.808
Astle_et_al_2016_Eosinophil_counts	ENSG00000134824.13	FADS2	4.00983550189144e-11	0.721
Astle_et_al_2016_Eosinophil_counts	ENSG00000115602.16	IL1RL1	5.55985024493272e-11	0.693
Astle_et_al_2016_Eosinophil_counts	ENSG00000184378.2	ACTRT3	5.89264364089967e-11	0.824
Astle_et_al_2016_Eosinophil_counts	ENSG00000100365.14	NCF4	7.1073553715691e-11	0.991
Astle_et_al_2016_Eosinophil_counts	ENSG00000149485.18	FADS1	1.25216170588401e-10	0.877
Astle_et_al_2016_Eosinophil_counts	ENSG00000103064.13	SLC7A6	1.58539976927492e-10	0.626
Astle_et_al_2016_Eosinophil_counts	ENSG00000167468.16	GPX4	1.68887475778872e-10	0.958
Astle_et_al_2016_Eosinophil_counts	ENSG00000116691.10	MIIP	1.72445320728049e-10	0.584
Astle_et_al_2016_Eosinophil_counts	ENSG00000173535.13	TNFRSF10C	1.9687506695162e-10	0.999
Astle_et_al_2016_Eosinophil_counts	ENSG00000205927.4	OLIG2	2.37320557842238e-10	0.926
Astle_et_al_2016_Eosinophil_counts	ENSG00000081059.19	TCF7	2.47145462112489e-10	0.916
Astle_et_al_2016_Eosinophil_counts	ENSG00000283632.2	EXOC3L2	3.23886812545673e-10	0.805
Astle_et_al_2016_Eosinophil_counts	ENSG00000085274.15	MYNN	6.1700055015053e-10	0.663
Astle_et_al_2016_Eosinophil_counts	ENSG00000142599.17	RERE	8.31584346415277e-10	0.946
Astle_et_al_2016_Eosinophil_counts	ENSG00000179163.11	FUCA1	9.60182845024532e-10	0.702
Astle_et_al_2016_Eosinophil_counts	ENSG00000267898.1	CTD-2639E6.9	1.15262498045776e-09	0.821
Astle_et_al_2016_Eosinophil_counts	ENSG00000072736.18	NFATC3	1.21161925358041e-09	0.657
Astle_et_al_2016_Eosinophil_counts	ENSG00000103066.12	PLA2G15	1.35814720036809e-09	0.935
Astle_et_al_2016_Eosinophil_counts	ENSG00000140044.12	JDP2	1.61382883115282e-09	0.619
Astle_et_al_2016_Eosinophil_counts	ENSG00000087088.19	BAX	2.1816396462887e-09	0.816
Astle_et_al_2016_Eosinophil_counts	ENSG00000145901.14	TNIP1	3.87032747576728e-09	0.814
Astle_et_al_2016_Eosinophil_counts	ENSG00000168496.3	FEN1	4.18006786342211e-09	0.594
Astle_et_al_2016_Eosinophil_counts	ENSG00000259956.1	RBM15B	5.91978890532643e-09	0.588
Astle_et_al_2016_Eosinophil_counts	ENSG00000132600.16	PRMT7	6.24645034211241e-09	0.556
Astle_et_al_2016_Eosinophil_counts	ENSG00000148396.18	SEC16A	7.18981698903198e-09	0.692
Astle_et_al_2016_Eosinophil_counts	ENSG00000167264.17	DUS2	7.89057916711412e-09	0.66
Astle_et_al_2016_Eosinophil_counts	ENSG00000180448.10	ARHGAP45	1.1150999704948e-08	0.922
Astle_et_al_2016_Eosinophil_counts	ENSG00000184221.12	OLIG1	1.99933759887327e-08	0.82
Astle_et_al_2016_Eosinophil_counts	ENSG00000177479.19	ARIH2	2.11606289341328e-08	0.508
Astle_et_al_2016_Eosinophil_counts	ENSG00000127124.14	HIVEP3	4.34205335284508e-08	0.948
Astle_et_al_2016_Eosinophil_counts	ENSG00000088325.15	TPX2	4.96143511841071e-08	0.915
Astle_et_al_2016_Eosinophil_counts	ENSG00000269667.1	RP11-542M13.2	5.48140348485426e-08	0.68
Astle_et_al_2016_Eosinophil_counts	ENSG00000148384.12	INPP5E	6.84104153619459e-08	0.584
Astle_et_al_2016_Eosinophil_counts	ENSG00000076248.10	UNG	7.02258321670761e-08	0.682
Astle_et_al_2016_Eosinophil_counts	ENSG00000133639.4	BTG1	8.29857220972412e-08	0.502
Astle_et_al_2016_Eosinophil_counts	ENSG00000128604.19	IRF5	1.49927966501483e-07	0.961
Astle_et_al_2016_Eosinophil_counts	ENSG00000120158.11	RCL1	1.70344325110467e-07	0.888
Astle_et_al_2016_Eosinophil_counts	ENSG00000111328.6	CDK2AP1	1.8106089822357e-07	0.593
Astle_et_al_2016_Eosinophil_counts	ENSG00000134802.17	SLC43A3	2.63419808256888e-07	0.953
Astle_et_al_2016_Eosinophil_counts	ENSG00000273611.4	ZNHIT3	3.43261267350952e-07	0.67
Astle_et_al_2016_Eosinophil_counts	ENSG00000136630.12	HLX	3.7919588581086e-07	0.754
Astle_et_al_2016_Eosinophil_counts	ENSG00000182934.11	SRPRA	7.22400339425246e-07	0.628
Astle_et_al_2016_Eosinophil_counts	ENSG00000178252.17	WDR6	7.25410434237859e-07	0.602
Astle_et_al_2016_Eosinophil_counts	ENSG00000115486.11	GGCX	7.27262695782167e-07	0.783
Astle_et_al_2016_Eosinophil_counts	ENSG00000171608.15	PIK3CD	7.76883072385594e-07	0.803
Astle_et_al_2016_Eosinophil_counts	ENSG00000169385.2	RNASE2	8.0571237426559e-07	0.736
Astle_et_al_2016_Eosinophil_counts	ENSG00000104738.16	MCM4	9.0925160931768e-07	0.673
Astle_et_al_2016_Eosinophil_counts	ENSG00000168906.12	MAT2A	9.86809998594623e-07	0.704
Astle_et_al_2016_Eosinophil_counts	ENSG00000188011.5	RTP5	1.13933961059022e-06	0.949
Astle_et_al_2016_Eosinophil_counts	ENSG00000130921.7	C12orf65	1.1656227912557e-06	0.58
Astle_et_al_2016_Eosinophil_counts	ENSG00000139187.9	KLRG1	1.16761143037401e-06	0.505
Astle_et_al_2016_Eosinophil_counts	ENSG00000258918.1	RP11-219E7.4	1.3819638274945e-06	0.774
Astle_et_al_2016_Eosinophil_counts	ENSG00000166888.11	STAT6	1.43853989027705e-06	0.985
Astle_et_al_2016_Eosinophil_counts	ENSG00000186652.9	PRG2	1.51114939855894e-06	0.698
Astle_et_al_2016_Eosinophil_counts	ENSG00000278259.4	MYO19	1.60709214294995e-06	0.879
Astle_et_al_2016_Eosinophil_counts	ENSG00000139445.17	FOXN4	1.84737024577893e-06	0.685
Astle_et_al_2016_Granulocyte_count	ENSG00000265799.1	RP11-387H17.6	6.96722314958731e-271	0.703
Astle_et_al_2016_Granulocyte_count	ENSG00000008838.19	MED24	1.79479174764679e-264	0.713
Astle_et_al_2016_Granulocyte_count	ENSG00000108344.14	PSMD3	1.29785114759693e-259	0.606
Astle_et_al_2016_Granulocyte_count	ENSG00000081041.8	CXCL2	1.03573048938787e-77	0.863
Astle_et_al_2016_Granulocyte_count	ENSG00000146592.16	CREB5	9.31427876098079e-77	1
Astle_et_al_2016_Granulocyte_count	ENSG00000163734.4	CXCL3	1.15454538394865e-68	0.648
Astle_et_al_2016_Granulocyte_count	ENSG00000196126.11	HLA-DRB1	5.25395092326324e-62	0.775
Astle_et_al_2016_Granulocyte_count	ENSG00000105767.2	CADM4	1.43970848455165e-60	1
Astle_et_al_2016_Granulocyte_count	ENSG00000204525.16	HLA-C	1.16708549973896e-56	0.983
Astle_et_al_2016_Granulocyte_count	ENSG00000206503.12	HLA-A	1.47922933324745e-49	0.999
Astle_et_al_2016_Granulocyte_count	ENSG00000196735.11	HLA-DQA1	6.25127079049051e-47	0.721
Astle_et_al_2016_Granulocyte_count	ENSG00000185201.16	IFITM2	2.65404683719589e-44	0.998
Astle_et_al_2016_Granulocyte_count	ENSG00000119535.17	CSF3R	3.32478989574527e-42	0.985
Astle_et_al_2016_Granulocyte_count	ENSG00000187122.16	SLIT1	2.43046231351878e-35	0.711
Astle_et_al_2016_Granulocyte_count	ENSG00000165879.8	FRAT1	1.21570728644762e-34	0.637
Astle_et_al_2016_Granulocyte_count	ENSG00000213390.10	ARHGAP19	3.73460661805161e-33	0.754
Astle_et_al_2016_Granulocyte_count	ENSG00000283632.2	EXOC3L2	1.17534181475524e-32	0.762
Astle_et_al_2016_Granulocyte_count	ENSG00000099256.18	PRTFDC1	2.6849807633919e-30	0.865
Astle_et_al_2016_Granulocyte_count	ENSG00000255328.1	RP11-326C3.12	3.81541939462567e-30	0.908
Astle_et_al_2016_Granulocyte_count	ENSG00000142089.15	IFITM3	6.73020089544266e-28	0.845
Astle_et_al_2016_Granulocyte_count	ENSG00000116885.18	OSCP1	3.55911761059091e-27	0.951
Astle_et_al_2016_Granulocyte_count	ENSG00000141027.20	NCOR1	1.35820482653937e-23	0.553
Astle_et_al_2016_Granulocyte_count	ENSG00000153814.11	JAZF1	2.26367934582227e-23	1
Astle_et_al_2016_Granulocyte_count	ENSG00000108474.16	PIGL	1.24731801475937e-22	0.793
Astle_et_al_2016_Granulocyte_count	ENSG00000197375.12	SLC22A5	2.72803412869989e-21	0.961
Astle_et_al_2016_Granulocyte_count	ENSG00000270030.1	RP11-326C3.13	5.00705838441464e-21	0.534
Astle_et_al_2016_Granulocyte_count	ENSG00000103966.10	EHD4	3.57735655126082e-20	0.948
Astle_et_al_2016_Granulocyte_count	ENSG00000122025.14	FLT3	1.25236249040741e-19	0.649
Astle_et_al_2016_Granulocyte_count	ENSG00000184357.4	HIST1H1B	4.91176838417654e-17	0.757
Astle_et_al_2016_Granulocyte_count	ENSG00000140968.10	IRF8	1.14550098065758e-16	0.923
Astle_et_al_2016_Granulocyte_count	ENSG00000152253.8	SPC25	2.25891500869823e-16	0.928
Astle_et_al_2016_Granulocyte_count	ENSG00000131507.10	NDFIP1	3.2978955921243e-16	0.762
Astle_et_al_2016_Granulocyte_count	ENSG00000113742.12	CPEB4	1.17963503941385e-15	0.991
Astle_et_al_2016_Granulocyte_count	ENSG00000116898.11	MRPS15	2.15208688638026e-15	0.956
Astle_et_al_2016_Granulocyte_count	ENSG00000169194.9	IL13	2.17606721400483e-15	0.565
Astle_et_al_2016_Granulocyte_count	ENSG00000152254.10	G6PC2	6.52318910573899e-15	0.955
Astle_et_al_2016_Granulocyte_count	ENSG00000143669.13	LYST	8.04988596118529e-15	0.518
Astle_et_al_2016_Granulocyte_count	ENSG00000169252.5	ADRB2	8.12692615372546e-15	0.897
Astle_et_al_2016_Granulocyte_count	ENSG00000111850.10	SMIM8	3.40077461090125e-14	0.733
Astle_et_al_2016_Granulocyte_count	ENSG00000183323.12	CCDC125	3.81012404300146e-14	0.718
Astle_et_al_2016_Granulocyte_count	ENSG00000165688.11	PMPCA	8.37173343449672e-14	0.932
Astle_et_al_2016_Granulocyte_count	ENSG00000149485.18	FADS1	1.46895618521773e-13	0.917
Astle_et_al_2016_Granulocyte_count	ENSG00000197208.5	SLC22A4	1.79606794125566e-13	0.87
Astle_et_al_2016_Granulocyte_count	ENSG00000148384.12	INPP5E	2.10079012487168e-13	0.951
Astle_et_al_2016_Granulocyte_count	ENSG00000112339.14	HBS1L	2.12997584038289e-13	0.733
Astle_et_al_2016_Granulocyte_count	ENSG00000163072.15	NOSTRIN	4.26986022793393e-13	0.945
Astle_et_al_2016_Granulocyte_count	ENSG00000204160.11	ZDHHC18	6.11857450300782e-13	0.539
Astle_et_al_2016_Granulocyte_count	ENSG00000148396.18	SEC16A	8.04581550513686e-13	0.907
Astle_et_al_2016_Granulocyte_count	ENSG00000022567.9	SLC45A4	1.11243770051524e-12	0.978
Astle_et_al_2016_Granulocyte_count	ENSG00000084734.8	GCKR	1.13190725312539e-12	0.552
Astle_et_al_2016_Granulocyte_count	ENSG00000136536.14	MARCH7	1.23963992668944e-12	0.667
Astle_et_al_2016_Granulocyte_count	ENSG00000196366.3	C9orf163	1.34875503369914e-12	0.523
Astle_et_al_2016_Granulocyte_count	ENSG00000164362.18	TERT	1.91707297970066e-12	0.532
Astle_et_al_2016_Granulocyte_count	ENSG00000155893.12	PXYLP1	5.02389139049204e-12	0.831
Astle_et_al_2016_Granulocyte_count	ENSG00000127022.14	CANX	5.12829591914297e-12	0.878
Astle_et_al_2016_Granulocyte_count	ENSG00000164691.16	TAGAP	6.78973257385729e-12	0.941
Astle_et_al_2016_Granulocyte_count	ENSG00000138002.14	IFT172	7.38191952475637e-12	0.66
Astle_et_al_2016_Granulocyte_count	ENSG00000165689.16	SDCCAG3	7.86693353477916e-12	0.509
Astle_et_al_2016_Granulocyte_count	ENSG00000232328.1	AC011286.1	8.60619769926866e-12	0.777
Astle_et_al_2016_Granulocyte_count	ENSG00000254093.8	PINX1	8.91779016356696e-12	0.602
Astle_et_al_2016_Granulocyte_count	ENSG00000134824.13	FADS2	1.99531178331033e-11	0.705
Astle_et_al_2016_Granulocyte_count	ENSG00000100583.4	SAMD15	2.44226384318856e-11	0.881
Astle_et_al_2016_Granulocyte_count	ENSG00000100580.7	TMED8	2.5897791345748e-11	0.873
Astle_et_al_2016_Granulocyte_count	ENSG00000085491.15	SLC25A24	2.8586412341592e-11	0.974
Astle_et_al_2016_Granulocyte_count	ENSG00000063176.15	SPHK2	2.98948578492255e-11	0.915
Astle_et_al_2016_Granulocyte_count	ENSG00000096968.13	JAK2	3.96089429831442e-11	0.974
Astle_et_al_2016_Granulocyte_count	ENSG00000134058.11	CDK7	4.48785152245469e-11	0.694
Astle_et_al_2016_Granulocyte_count	ENSG00000151445.15	VIPAS39	5.28065861662693e-11	0.539
Astle_et_al_2016_Granulocyte_count	ENSG00000063180.8	CA11	5.67526220330664e-11	0.959
Astle_et_al_2016_Granulocyte_count	ENSG00000168496.3	FEN1	7.40419840202128e-11	0.617
Astle_et_al_2016_Granulocyte_count	ENSG00000163464.7	CXCR1	1.40817306555036e-10	1
Astle_et_al_2016_Granulocyte_count	ENSG00000153044.9	CENPH	1.93549971973164e-10	0.703
Astle_et_al_2016_Granulocyte_count	ENSG00000132510.10	KDM6B	2.35879739329964e-10	0.998
Astle_et_al_2016_Granulocyte_count	ENSG00000072694.20	FCGR2B	3.46109925942812e-10	0.799
Astle_et_al_2016_Granulocyte_count	ENSG00000132321.16	IQCA1	3.51325687499277e-10	0.75
Astle_et_al_2016_Granulocyte_count	ENSG00000163635.17	ATXN7	3.58831943027918e-10	0.778
Astle_et_al_2016_Granulocyte_count	ENSG00000115970.18	THADA	3.68227829007775e-10	0.685
Astle_et_al_2016_Granulocyte_count	ENSG00000163050.16	COQ8A	3.97233512598438e-10	0.753
Astle_et_al_2016_Granulocyte_count	ENSG00000147852.15	VLDLR	4.41555834320963e-10	0.751
Astle_et_al_2016_Granulocyte_count	ENSG00000134056.11	MRPS36	4.53620987062527e-10	0.522
Astle_et_al_2016_Granulocyte_count	ENSG00000161013.16	MGAT4B	4.88277047918631e-10	0.564
Astle_et_al_2016_Granulocyte_count	ENSG00000144476.5	ACKR3	5.25427805623915e-10	0.842
Astle_et_al_2016_Granulocyte_count	ENSG00000267534.2	S1PR2	5.35206126958185e-10	0.783
Astle_et_al_2016_Granulocyte_count	ENSG00000175164.13	ABO	5.52718234198269e-10	0.925
Astle_et_al_2016_Granulocyte_count	ENSG00000165555.9	NOXRED1	5.93612859213567e-10	0.738
Astle_et_al_2016_Granulocyte_count	ENSG00000124788.17	ATXN1	7.30680213334677e-10	0.971
Astle_et_al_2016_Granulocyte_count	ENSG00000104938.16	CLEC4M	8.51374168854921e-10	0.838
Astle_et_al_2016_Granulocyte_count	ENSG00000186086.18	NBPF6	1.12670729245114e-09	0.682
Astle_et_al_2016_Granulocyte_count	ENSG00000141452.9	C18orf8	1.22038297868515e-09	0.854
Astle_et_al_2016_Granulocyte_count	ENSG00000180432.5	CYP8B1	1.48248180653028e-09	0.742
Astle_et_al_2016_Granulocyte_count	ENSG00000173535.13	TNFRSF10C	2.11479594540956e-09	0.949
Astle_et_al_2016_Granulocyte_count	ENSG00000275832.4	ARHGAP23	2.14070034330769e-09	0.616
Astle_et_al_2016_Granulocyte_count	ENSG00000168769.13	TET2	2.34698145381092e-09	0.66
Astle_et_al_2016_Granulocyte_count	ENSG00000188452.13	CERKL	2.48986654176078e-09	0.962
Astle_et_al_2016_Granulocyte_count	ENSG00000136144.11	RCBTB1	3.17101372032614e-09	0.928
Astle_et_al_2016_Granulocyte_count	ENSG00000267337.1	LINC01478	3.29454801644011e-09	0.84
Astle_et_al_2016_Granulocyte_count	ENSG00000103187.7	COTL1	3.5202020446392e-09	0.958
Astle_et_al_2016_Granulocyte_count	ENSG00000175489.9	LRRC25	3.81567170657604e-09	0.965
Astle_et_al_2016_Granulocyte_count	ENSG00000184988.8	TMEM106A	4.61812849772568e-09	0.807
Astle_et_al_2016_Granulocyte_count	ENSG00000152242.10	C18orf25	4.70036185730821e-09	0.692
Astle_et_al_2016_Granulocyte_count	ENSG00000143771.11	CNIH4	4.90783136811156e-09	0.593
Astle_et_al_2016_Granulocyte_count	ENSG00000254087.7	LYN	5.10409227231154e-09	0.89
Astle_et_al_2016_Granulocyte_count	ENSG00000251259.1	AC004069.2	5.92212483465715e-09	0.952
Astle_et_al_2016_Granulocyte_count	ENSG00000162511.7	LAPTM5	6.17885007101135e-09	0.846
Astle_et_al_2016_Granulocyte_count	ENSG00000063177.12	RPL18	9.00375317304388e-09	0.694
Astle_et_al_2016_Granulocyte_count	ENSG00000234255.8	AC012370.3	1.56518169874565e-08	0.679
Astle_et_al_2016_Granulocyte_count	ENSG00000198399.14	ITSN2	1.6731444031793e-08	0.514
Astle_et_al_2016_Granulocyte_count	ENSG00000064666.14	CNN2	2.49418624028183e-08	0.957
Astle_et_al_2016_Granulocyte_count	ENSG00000243509.4	TNFRSF6B	2.7059343154727e-08	0.649
Astle_et_al_2016_Granulocyte_count	ENSG00000186868.15	MAPT	2.74556634112657e-08	0.698
Astle_et_al_2016_Granulocyte_count	ENSG00000167193.7	CRK	3.88112082993802e-08	0.833
Astle_et_al_2016_Granulocyte_count	ENSG00000198369.9	SPRED2	4.00350071700158e-08	0.889
Astle_et_al_2016_Granulocyte_count	ENSG00000169118.17	CSNK1G1	4.39265324956431e-08	0.906
Astle_et_al_2016_Granulocyte_count	ENSG00000253641.5	LINCR-0001	4.41372423722431e-08	0.663
Astle_et_al_2016_Granulocyte_count	ENSG00000154511.11	FAM69A	5.78856906313739e-08	0.516
Astle_et_al_2016_Granulocyte_count	ENSG00000273142.1	RP11-458F8.4	6.7194535971341e-08	0.642
Astle_et_al_2016_Granulocyte_count	ENSG00000141458.12	NPC1	6.75864098314402e-08	0.685
Astle_et_al_2016_Granulocyte_count	ENSG00000143786.7	CNIH3	7.07005261818146e-08	0.654
Astle_et_al_2016_Granulocyte_count	ENSG00000139567.12	ACVRL1	9.5609755275822e-08	0.965
Astle_et_al_2016_Granulocyte_count	ENSG00000090382.6	LYZ	9.59148681749519e-08	0.997
Astle_et_al_2016_Granulocyte_count	ENSG00000115232.13	ITGA4	1.03140421028124e-07	0.963
Astle_et_al_2016_Granulocyte_count	ENSG00000136205.16	TNS3	1.22623684725545e-07	0.94
Astle_et_al_2016_Granulocyte_count	ENSG00000258366.7	RTEL1	1.28151725813152e-07	0.816
Astle_et_al_2016_Granulocyte_count	ENSG00000186453.12	FAM228A	1.38164208651369e-07	0.553
Astle_et_al_2016_Granulocyte_count	ENSG00000123636.17	BAZ2B	1.60735099680724e-07	0.691
Astle_et_al_2016_Granulocyte_count	ENSG00000274979.1	RP11-1143G9.5	1.79689742874596e-07	0.989
Astle_et_al_2016_Granulocyte_count	ENSG00000186074.18	CD300LF	2.07949155933392e-07	0.923
Astle_et_al_2016_Granulocyte_count	ENSG00000232956.8	SNHG15	2.09147721446863e-07	0.52
Astle_et_al_2016_Granulocyte_count	ENSG00000115234.10	SNX17	2.26973777331021e-07	0.513
Astle_et_al_2016_Granulocyte_count	ENSG00000101246.19	ARFRP1	2.41892314271192e-07	0.806
Astle_et_al_2016_Granulocyte_count	ENSG00000072818.11	ACAP1	2.50770302234943e-07	0.989
Astle_et_al_2016_Granulocyte_count	ENSG00000229116.2	RP11-20J15.3	2.76956994378876e-07	0.788
Astle_et_al_2016_Granulocyte_count	ENSG00000166272.16	WBP1L	2.90137303253644e-07	0.913
Astle_et_al_2016_Granulocyte_count	ENSG00000204634.12	TBC1D8	3.65031348588906e-07	0.668
Astle_et_al_2016_Granulocyte_count	ENSG00000029725.16	RABEP1	3.69118688926683e-07	0.602
Astle_et_al_2016_Granulocyte_count	ENSG00000173013.5	CCDC96	3.6997649463649e-07	0.739
Astle_et_al_2016_Granulocyte_count	ENSG00000253669.3	KB-1732A1.1	4.07832891570859e-07	0.597
Astle_et_al_2016_Granulocyte_count	ENSG00000065029.14	ZNF76	4.85573000009737e-07	0.707
Astle_et_al_2016_Granulocyte_count	ENSG00000111725.10	PRKAB1	6.10261128284169e-07	0.992
Astle_et_al_2016_Granulocyte_count	ENSG00000130816.14	DNMT1	7.06294961351529e-07	0.885
Astle_et_al_2016_Granulocyte_count	ENSG00000197362.14	ZNF786	7.86199315717706e-07	0.662
Astle_et_al_2016_Granulocyte_count	ENSG00000227533.5	SLC2A1-AS1	8.0655947767253e-07	0.697
